it,slug
scimitar - avionica (schema),scimitar_avionics_blueprint
reflex guard,reflex_guard
everlasting ward,everlasting_ward
ash prime - neurottiche (schema),ash_prime_neuroptics_blueprint
jolt,jolt
vectis prime - calcio,vectis_prime_stock
stunning speed,stunning_speed
primed continuity,primed_continuity
bo prime - impugnatura,bo_prime_handle
crash course,crash_course
vital system bypass,vital_systems_bypass
singularity,singularity
armored acrobatics,armored_acrobatics
lethal momentum,lethal_momentum
primed bane of infested,primed_bane_of_infested
primed bane of corpus,primed_bane_of_corpus
carrier prime (schema),carrier_prime_blueprint
vulpine mask,vulpine_mask
primed bane of grineer,primed_bane_of_grineer
vectis prime - canna,vectis_prime_barrel
tactical pump,tactical_pump
elmo arcane menticide,arcane_menticide_helmet
elmo arcane aurora,arcane_aurora_helmet
soma prime (schema),soma_prime_blueprint
unleashed,unleashed
vasto prime - canna,vasto_prime_barrel
elmo arcane chorus,arcane_chorus_helmet
vasto prime (schema),vasto_prime_blueprint
entropy flight,entropy_flight
saryn prime set,saryn_prime_set
poppin' vert,poppin_vert
magus repair,magus_repair
magus glitch,magus_glitch
perfect balance,perfect_balance
strain consume,strain_consume
riven mod zaw (veiled),zaw_riven_mod_(veiled)
wolf sledge (schema),wolf_sledge_blueprint
magus overload,magus_overload
molecular fission,molecular_fission
wolf sledge - motore,wolf_sledge_motor
wild frenzy,wild_frenzy
napalm grenades,napalm_grenades
tipedo prime - impugnatura,tipedo_prime_handle
stradavar prime set,stradavar_prime_set
equinox prime (schema),equinox_prime_blueprint
bronco prime - canna,bronco_prime_barrel
war - elsa,war_hilt
nova prime - sistemi (schema),nova_prime_systems_blueprint
frost prime (schema),frost_prime_blueprint
bronco prime (schema),bronco_prime_blueprint
astral twilight,astral_twilight
snap shot,snap_shot
burston prime - castello,burston_prime_receiver
fang prime - lama,fang_prime_blade
vauban prime - neurottiche (schema),vauban_prime_neuroptics_blueprint
hikou prime - stelle,hikou_prime_stars
intruder,intruder
prisma angstrum,prisma_angstrum
phaedra - calcio,phaedra_stock
scorch,scorch
entropy spike,entropy_spike
eleventh storm,eleventh_storm
nova prime - neurottiche (schema),nova_prime_neuroptics_blueprint
antimatter mine,antimatter_mine
nova prime - chassis (schema),nova_prime_chassis_blueprint
prism guard,prism_guard
trick mag,trick_mag
nova prime (schema),nova_prime_blueprint
deceptive bond,deceptive_bond
frost prime - neurottiche (schema),frost_prime_neuroptics_blueprint
elmo arcane squall,arcane_squall_helmet
calculated redirection,calculated_redirection
charged shell,charged_shell
cleanse corpus,cleanse_corpus
searing steel,searing_steel
accelerated deflection,accelerated_deflection
clashing forest,clashing_forest
primal rage,primal_rage
celestial stomp,celestial_stomp
secura penta,secura_penta
razor shot,razor_shot
creeping terrify,creeping_terrify
trinity prime (schema),trinity_prime_blueprint
grim fury,grim_fury
scultura ayatan orta,ayatan_orta_sculpture
energy channel,energy_channel
hallowed reckoning,hallowed_reckoning
convulsion,convulsion
arcane fury,arcane_fury
rapid resilience,rapid_resilience
pistol pestilence,pistol_pestilence
primed morphic transformer,primed_morphic_transformer
frail momentum,frail_momentum
pathogen rounds,pathogen_rounds
arcane aegis,arcane_aegis
sudden impact,sudden_impact
arcane consequence,arcane_consequence
tempered blade,tempered_blade
smite corpus,smite_corpus
arcane energize,arcane_energize
fanged fusillade,fanged_fusillade
gladiator resolve,gladiator_resolve
ghost,ghost
rime rounds,rime_rounds
vulkar wraith,vulkar_wraith
scultura ayatan piv,ayatan_piv_sculpture
negation armor,negation_swarm
blunderbuss,blunderbuss
sybaris prime - canna,sybaris_prime_barrel
centaur - aegis,centaur_aegis
cephalon suda augment mod,cephalon_suda_augment_mod
banshee prime - chassis (schema),banshee_prime_chassis_blueprint
chilling grasp,chilling_grasp
wukong prime - chassis (schema),wukong_prime_chassis_blueprint
blazing steel,blazing_steel
fired up,fired_up
shattering storm,shattering_storm
fear sense,sense_danger
bullet dance,bullet_dance
twin vipers wraith (schema),twin_vipers_wraith_blueprint
split chamber,split_chamber
north wind,north_wind
shotgun scavenger,shotgun_scavenger
synoid gammacor,synoid_gammacor
helios prime set,helios_prime_set
rakta ballistica,rakta_ballistica
hydroid prime - neurottiche (schema),hydroid_prime_neuroptics_blueprint
greedy pull,greedy_pull
silva & aegis prime set,silva_and_aegis_prime_set
sanctuary,sanctuary
tether grenades,tether_grenades
aviator,aviator
swooping falcon,swooping_falcon
constitution,constitution
smite infusion,smite_infusion
collare kubrow kavasa prime set,kavasa_prime_kubrow_collar_set
latron prime set,latron_prime_set
lex prime set,lex_prime_set
odonata prime set,odonata_prime_set
gun glide,gun_glide
rime vault,rime_vault
vanquished prey,vanquished_prey
voltaic lance,voltaic_lance
deft tempo,deft_tempo
double tap,double_tap
final act,final_act
final tap,final_tap
hydraulic chamber,hydraulic_chamber
hydraulic gauge,hydraulic_gauge
loose hatch,loose_hatch
narrow barrel,narrow_barrel
strun wraith - canna,strun_wraith_barrel
lente zenurik eidolon,eidolon_zenurik_lens
destreza prime - impugnatura,destreza_prime_handle
enhanced durability,enhanced_durability
holster amp,holster_amp
arcane strike,arcane_strike
sinister reach,sinister_reach
vectis prime set,vectis_prime_set
carving mantis,carving_mantis
primed pack leader,primed_pack_leader
arcane nullifier,arcane_nullifier
rhino prime set,rhino_prime_set
sicarus prime set,sicarus_prime_set
grinloked,grinloked
arcane victory,arcane_victory
hastened steps,hastened_steps
lie in wait,lie_in_wait
boltor prime - castello,boltor_prime_receiver
boltor prime - calcio,boltor_prime_stock
night stalker,night_stalker
synoid heliocor,synoid_heliocor
elytron - sistemi,elytron_systems_blueprint
steel meridian augment mod,steel_meridian_augment_mod
shadow harvest,shadow_harvest
argent scourge,argent_scourge
tigris prime - canna,tigris_prime_barrel
eject magazine,eject_magazine
plan b,plan_b
burning wasp,burning_wasp
sharpened bullets,sharpened_bullets
ripper rounds,ripper_rounds
soma prime - castello,soma_prime_receiver
reaping spiral,reaping_spiral
soma prime - calcio,soma_prime_stock
sharpened blade,sharpened_blade
strafing slide,strafing_slide
scimitar set,scimitar_set
surplus diverters,surplus_diverters
cataclysmic continuum,cataclysmic_continuum
braton prime set,braton_prime_set
relentless assault,relentless_assault
silva & aegis prime - elsa,silva_and_aegis_prime_hilt
calculated spring,calculated_spring
comet rounds,comet_rounds
hydroid prime - chassis (schema),hydroid_prime_chassis_blueprint
aklex prime (schema),aklex_prime_blueprint
aklex prime set,aklex_prime_set
ballistica prime (schema),ballistica_prime_blueprint
tranquil cleave,tranquil_cleave
link vitality,link_vitality
pack leader,pack_leader
soul survivor,soul_survivor
molecular conversion,molecular_conversion
thumper,thumper
rush,rush
infected clip,infected_clip
cleanse infested,cleanse_infested
blaze,blaze
vacuum,vacuum
energy generator,energy_generator
scarlet hurricane,scarlet_hurricane
vicious approach,vicious_approach
frost jaw,frost_jaw
shock collar,shock_collar
thrash landing,thrash_landing
motus impact,motus_impact
aero vantage,aero_vantage
motus setup,motus_setup
gale kick,gale_kick
motus signal,motus_signal
scenario ponte 12,deck_12_scene
ninkondi prime (schema),ninkondi_prime_blueprint
zhuge prime - canna,zhuge_prime_barrel
ninkondi prime - impugnatura,ninkondi_prime_handle
ninkondi prime set,ninkondi_prime_set
wukong prime set,wukong_prime_set
scindo prime - impugnatura,scindo_prime_handle
vile precision,vile_precision
parallax scope,parallax_scope
vitality,vitality
sniper scavenger,sniper_scavenger
sunika kubrow imprint,sunika_kubrow_imprint
adarza kavat imprint,adarza_kavat_imprint
rubico prime - canna,rubico_prime_barrel
stormbringer,stormbringer
arcane eruption,arcane_eruption
elmo arcane vespa,arcane_vespa_helmet
escape velocity,escape_velocity
expel infested,expel_infested
scenario vista nuvole città di gas,gas_city_cloud_vista_scene
combustion rounds,combustion_rounds
sniper ammo mutation,sniper_ammo_mutation
loki prime (schema),loki_prime_blueprint
seeking force,seeking_force
target cracker,target_cracker
fleeting expertise,fleeting_expertise
critical delay,critical_delay
provoked,provoked
spoiled strike,spoiled_strike
incendiary coat,incendiary_coat
elmo arcane coil,arcane_coil_helmet
augur accord,augur_accord
breach loader,breach_loader
dual kamas prime (schema),dual_kamas_prime_blueprint
gaia's tragedy,gaias_tragedy
latron prime - canna,latron_prime_barrel
karak wraith canna,karak_wraith_barrel
lente zenurik,zenurik_lens
agility drift,agility_drift
bite,bite
afterburn,afterburn
rising storm,rising_storm
ember prime set,ember_prime_set
redirection,redirection
fang prime set,fang_prime_set
chilling globe,chilling_globe
mag prime set,mag_prime_set
exothermic,exothermic
nekros prime - neurottiche (schema),nekros_prime_neuroptics_blueprint
eagle eye,eagle_eye
shield overload,shield_overload
arc coil,arc_coil
chaos sphere,chaos_sphere
hysterical fixation,hysterical_fixation
defiled reckoning,defiled_reckoning
crash shot,crash_shot
ammo case,ammo_case
euphona prime set,euphona_prime_set
blade of truth,blade_of_truth
focus energy,focus_energy
hawk eye,hawk_eye
boar prime (schema),boar_prime_blueprint
oberon prime set,oberon_prime_set
centaur - lama,centaur_blade
sweeping serration,sweeping_serration
agkuza - lama,agkuza_blade
link redirection,link_redirection
tiberon prime (schema),tiberon_prime_blueprint
prisma dual cleavers,prisma_dual_cleavers
directed convergence,directed_convergence
saryn prime (schema),saryn_prime_blueprint
primed heavy trauma,primed_heavy_trauma
arcane awakening,arcane_awakening
localizzatore gamma,gamma_beacon
arcane ultimatum,arcane_ultimatum
dera vandal (schema),dera_vandal_blueprint
prisma obex,prisma_obex
bo prime set,bo_prime_set
boar prime set,boar_prime_set
ballistica prime - castello,ballistica_prime_receiver
boltor prime set,boltor_prime_set
strun wraith - calcio,strun_wraith_stock
strun wraith set,strun_wraith_set
kogake prime set,kogake_prime_set
kogake prime - guanto,kogake_prime_gauntlet
zephyr prime (schema),zephyr_prime_blueprint
lato vandal set,lato_vandal_set
lato vandal (schema),lato_vandal_blueprint
lato vandal - canna,lato_vandal_barrel
braton vandal set,braton_vandal_set
scenario artiglieria insediamento grineer,grineer_settlement_artillery_scene
scenario fenditura fortezza kuva,kuva_fortress_crevice_scene
scenario centrifuga laboratorio marino grineer,grineer_sealab_centrifuge_scene
scenario balcone di lua,lua_balcony_scene
reawaken,reawaken
valkyr prime - neurottiche (schema),valkyr_prime_neuroptics_blueprint
centaur - manico,centaur_handle
augur message,augur_message
true punishment,true_punishment
entropy detonation,entropy_detonation
rending crane,rending_crane
air recon,air_recon
venka prime (schema),venka_prime_blueprint
euphona prime (schema),euphona_prime_blueprint
onorix - manico,onorix_handle
point blank,point_blank
reflection,reflection
stinging thorn,stinging_thorn
shotgun amp,shotgun_amp
magus anomaly,magus_anomaly
dual kamas prime - impugnatura,dual_kamas_prime_handle
virtuos surge,virtuos_surge
marked target,marked_target
empowered blades,empowered_blades
collare kavasa prime - fibbia,kavasa_prime_buckle
strain eruption,strain_eruption
stand united,stand_united
collare kavasa prime - fascia,kavasa_prime_band
scenario trono kuva,kuva_throne_scene
scenario condotto del santuario,sanctuary_conduit_scene
venom teeth,venom_teeth
rising steel,rising_steel
piercing fury,piercing_fury
amarast taglio stella,star_amarast
venerdo hoverdrive,venerdo_hoverdrive
trail blazer,trail_blazer
scan matter,scan_matter
kinetic friction,kinetic_friction
scan aquatic lifeforms,scan_lifeforms
air time,air_time
rail guards,rail_guards
assault mode,assault_mode
mag locks,mag_locks
inertia dampeners,inertia_dampeners
akvasto prime set,akvasto_prime_set
perpetual agony,perpetual_agony
armored agility,armored_agility
body count,body_count
arcane deflection,arcane_deflection
weeping wounds,weeping_wounds
akbronco prime - collegamento,akbronco_prime_link
vermillion storm,vermillion_storm
maiming strike,maiming_strike
investigator,investigator
firewalker,firewalker
hydraulic crosshairs,hydraulic_crosshairs
toxic flight,toxic_flight
laser sight,laser_sight
smite infested,smite_infested
venom dose,venom_dose
rending turn,rending_turn
seismic wave,seismic_wave
dakra prime - impugnatura,dakra_prime_handle
expel grineer,expel_grineer
soma prime - canna,soma_prime_barrel
mag prime - neurottiche (schema),mag_prime_neuroptics_blueprint
primed fast hands,primed_fast_hands
furax wraith set,furax_wraith_set
dead eye,dead_eye
riven mod corpo a corpo (veiled),melee_riven_mod_(veiled)
corrosive projection,corrosive_projection
riven mod pistola (veiled),pistol_riven_mod_(veiled)
heavy trauma,heavy_trauma
exodia valor,exodia_valor
charged chamber,charged_chamber
tidal impunity,tidal_impunity
piercing caliber,piercing_caliber
elmo arcane backdraft,arcane_backdraft_helmet
adhesive blast,adhesive_blast
kinetic collision,kinetic_collision
thundermiter,thundermiter
finishing touch,finishing_touch
static alacrity,static_alacrity
ash prime - chassis (schema),ash_prime_chassis_blueprint
tigris prime (schema),tigris_prime_blueprint
emergent aftermath,emergent_aftermath
fortitude,fortitude
ash prime - sistemi (schema),ash_prime_systems_blueprint
mag prime - sistemi (schema),mag_prime_systems_blueprint
prisma grakata,prisma_grakata
mobilize,mobilize
vectis prime - castello,vectis_prime_receiver
automatic trigger,automatic_trigger
armored recovery,armored_recovery
vaykor sydon,vaykor_sydon
slip magazine,slip_magazine
homing fang,homing_fang
arcane grace,arcane_grace
maul,maul
enhanced vitality,enhanced_vitality
bo prime - ornamento,bo_prime_ornament
dera vandal - castello,dera_vandal_receiver
ankyros prime set,ankyros_prime_set
vile acceleration,vile_acceleration
barrel diffusion,barrel_diffusion
whirlwind,whirlwind
antitoxin,antitoxin
disruptor,disruptor
heavy caliber,heavy_caliber
piercing hit,piercing_hit
continuity,continuity
tainted clip,tainted_clip
shock trooper,shock_trooper
flow,flow
critical deceleration,critical_deceleration
wyrm prime - carapace,wyrm_prime_carapace
healing flame,healing_flame
atlantis vulcan,atlantis_vulcan
prisma tetra,prisma_tetra
sonic fracture,sonic_fracture
paris prime set,paris_prime_set
trinity prime set,trinity_prime_set
vigilante armaments,vigilante_armaments
sybaris prime (schema),sybaris_prime_blueprint
beguiling lantern,beguiling_lantern
ballistica prime set,ballistica_prime_set
virtuos fury,virtuos_fury
virtuos null,virtuos_null
virtuos tempo,virtuos_tempo
exodia force,exodia_force
virtuos ghost,virtuos_ghost
chromatic blade,chromatic_blade
expel orokin,expel_corrupted
gladiator aegis,gladiator_aegis
neutralizing justice,neutralizing_justice
zodian radiante,radiant_zodian
biting piranha,biting_piranha
wukong prime (schema),wukong_prime_blueprint
wukong prime - sistemi (schema),wukong_prime_systems_blueprint
zhuge prime - corda,zhuge_prime_string
gilded truth,gilded_truth
link fiber,link_fiber
sure footed,sure_footed
bleeding willow,bleeding_willow
undying will,undying_will
iron phoenix,iron_phoenix
pointed wind,pointed_wind
stabilizer,stabilizer
rifle scavenger,rifle_scavenger
quickening,quickening
rubedo-lined barrel,rubedo_lined_barrel
sundering strike,sundering_strike
negate,negate
peculiar growth,peculiar_growth
destreza prime - lama,destreza_prime_blade
mecha empowered,mecha_empowered
mecha pulse,mecha_pulse
mafic rain,mafic_rain
crashing timber,crashing_timber
tainted hydra,tainted_hydra
lashing coil,lashing_coil
regen,regen
aklex prime - collegamento,aklex_prime_link
speed trigger,speed_trigger
augur secrets,augur_secrets
scenario presidio di cressa,cressas_garrison_scene
scenario tribunale arbiter,arbiters_tribunal_scene
scenario industria grineer nella foresta,grineer_forest_industry_scene
banshee prime - sistemi (schema),banshee_prime_systems_blueprint
arrow mutation,arrow_mutation
hydroid prime (schema),hydroid_prime_blueprint
hastened deflection,hastened_deflection
infectious injection,infectious_injection
wise razor,wise_razor
equinox prime - sistemi (schema),equinox_prime_systems_blueprint
riven mod archgun (veiled),archgun_riven_mod_(veiled)
paris prime (schema),paris_prime_blueprint
resonating quake,resonating_quake
flailing branch,flailing_branch
frostbite,frostbite
scenario centrale sbarco città di gas,gas_city_central_drop_scene
lente unairu lua,lua_unairu_lens
shepherd,shepherd
scenario estrazione torre orokin,orokin_tower_extraction_scene
deadly efficiency,deadly_efficiency
virtuos forge,virtuos_forge
akvasto prime (schema),akvasto_prime_blueprint
akvasto prime - collegamento,akvasto_prime_link
contamination casing,contamination_casing
scenario postazione di comando di onkko,onkkos_command_post_scene
flux overdrive,flux_overdrive
onorix - lama,onorix_blade
venka prime set,venka_prime_set
suppress,suppress
target fixation,target_fixation
maglev,maglev
cleanse grineer,cleanse_grineer
heightened reflexes,heightened_reflexes
hunt,hunt
orthos prime (schema),orthos_prime_blueprint
hall of malevolence,hall_of_malevolence
smite grineer,smite_grineer
firestorm,firestorm
bane of corpus,bane_of_corpus
berserker fury,berserker_fury
rousing plunder,rousing_plunder
loose magazine,loose_magazine
life strike,life_strike
handspring,handspring
paris prime - impugnatura,paris_prime_grip
lucky shot,lucky_shot
electrified barrel,electrified_barrel
maximum capacity,maximum_capacity
savior decoy,savior_decoy
stalking fan,stalking_fan
primed bane of orokin,primed_bane_of_corrupted
warm coat,warm_coat
tainted mag,tainted_mag
tactical retreat,tactical_retreat
bright purity,bright_purity
frigid blast,frigid_blast
shrapnel rounds,shrapnel_rounds
bleeding edge,bleeding_edge
pax seeker,pax_seeker
mesa prime (schema),mesa_prime_blueprint
equinox prime - neurottiche (schema),equinox_prime_neuroptics_blueprint
redeemer prime (schema),redeemer_prime_blueprint
virtuos spike,virtuos_spike
tipedo prime (schema),tipedo_prime_blueprint
serrated edges,serrated_edges
flame repellent,flame_repellent
quanta vandal,quanta_vandal
mara detron,mara_detron
shock absorbers,shock_absorbers
bronco prime - castello,bronco_prime_receiver
mutalist nav coordinates,mutalist_nav_coordinates
burston prime (schema),burston_prime_blueprint
soft hands,soft_hands
spring-loaded broadhead,spring_loaded_broadhead
rift torrent,rift_torrent
burston prime - calcio,burston_prime_stock
sword alone,sword_alone
tactical reload,tactical_reload
hikou prime (schema),hikou_prime_blueprint
tear gas,tear_gas
primed slip magazine,primed_slip_magazine
shelter,shelter
gemini cross,gemini_cross
rupture,rupture
elmo arcane vanguard,arcane_vanguard_helmet
fomorian accelerant,fomorian_accelerant
primed flow,primed_flow
imperator vandal (schema),imperator_vandal_blueprint
primed pistol ammo mutation,primed_pistol_ammo_mutation
elmo arcane pendragon,arcane_pendragon_helmet
prisma veritux,prisma_veritux
resonance,resonance
ballistic bullseye,ballistic_bullseye
volt prime (schema),volt_prime_blueprint
piercing navigator,piercing_navigator
scenario laboratorio di alad città di gas,gas_city_alads_laboratory_scene
magnum force,magnum_force
expel corpus,expel_corpus
ember prime - chassis (schema),ember_prime_chassis_blueprint
arcane tempo,arcane_tempo
lente madurai,madurai_lens
lente unairu,unairu_lens
cunning drift,cunning_drift
endurance drift,endurance_drift
abating link,abating_link
power drift,power_drift
