pl,slug
strażniczy ferwor,vigilante_fervor
ankyros prime: ostrze,ankyros_prime_blade
ankyros prime: rękawica,ankyros_prime_gauntlet
bo prime - schemat,bo_prime_blueprint
silva i aegis prime: garda,silva_and_aegis_prime_guard
okrutny mróz,vicious_frost
ząbkowana krawędź,jagged_edge
zakłócenie tarczy,shield_disruption
magus wigoru,magus_vigor
nawał strzelb,shotgun_barrage
loki: hełm arkanum swindle,arcane_swindle_helmet
gladiatorski nawyk,gladiator_vice
trinity: hełm arkanum meridian,arcane_meridian_helmet
legendary fusion core,legendary_fusion_core
tigris prime: kolba,tigris_prime_stock
tańcząca igła,spinning_needle
snipetron vandal: kolba,snipetron_vandal_stock
nieskrępowany ogień,wildfire
zguba grineer,bane_of_grineer
scimitar: awionika - schemat,scimitar_avionics_blueprint
zasłona odbijająca,reflex_guard
wieczna straż,everlasting_ward
ash prime: neuroptyka - schemat,ash_prime_neuroptics_blueprint
wstrząs,jolt
vectis prime: kolba,vectis_prime_stock
oszałamiająca prędkość,stunning_speed
ciągłość prime,primed_continuity
bo prime: drzewce,bo_prime_handle
kurs kolizyjny,crash_course
obejście systemów podtrzymywania,vital_systems_bypass
osobliwość,singularity
opancerzone manewry,armored_acrobatics
zabójczy pęd,lethal_momentum
zguba plagi prime,primed_bane_of_infested
zguba corpus prime,primed_bane_of_corpus
carrier prime - schemat,carrier_prime_blueprint
lisia przebiegłość,vulpine_mask
zguba grineer prime,primed_bane_of_grineer
vectis prime: lufa,vectis_prime_barrel
taktyczny podajnik,tactical_pump
nyx: hełm arkanum menticide,arcane_menticide_helmet
frost: hełm arkanum aurora,arcane_aurora_helmet
soma prime - schemat,soma_prime_blueprint
spuszczony ze smyczy,unleashed
vasto prime: lufa,vasto_prime_barrel
banshee: hełm arkanum chorus,arcane_chorus_helmet
vasto prime - schemat,vasto_prime_blueprint
lot entropii,entropy_flight
saryn prime: zestaw,saryn_prime_set
podwójny skok,poppin_vert
magus naprawy,magus_repair
magus usterki,magus_glitch
harmonijny balans,perfect_balance
szczep pochłonięcia,strain_consume
mod riven zaw (ukryty),zaw_riven_mod_(veiled)
wilczy kafar - schemat,wolf_sledge_blueprint
magus przeciążenia,magus_overload
molekularne rozszczepienie,molecular_fission
wilczy kafar: silnik,wolf_sledge_motor
dziki szał,wild_frenzy
napalmowe granaty,napalm_grenades
tipedo prime: rękojeść,tipedo_prime_handle
stradavar prime: zestaw,stradavar_prime_set
equinox prime - schemat,equinox_prime_blueprint
bronco prime: lufa,bronco_prime_barrel
war: rękojeść,war_hilt
nova prime: systemy - schemat,nova_prime_systems_blueprint
frost prime - schemat,frost_prime_blueprint
bronco prime - schemat,bronco_prime_blueprint
astralny zmierzch,astral_twilight
błyskawiczny strzał,snap_shot
burston prime: korpus,burston_prime_receiver
fang prime: ostrze,fang_prime_blade
vauban prime: neuroptyka - schemat,vauban_prime_neuroptics_blueprint
hikou prime: gwiazdki,hikou_prime_stars
intruz,intruder
angstrum prisma,prisma_angstrum
phaedra: kolba,phaedra_stock
spopielenie,scorch
ostrze entropii,entropy_spike
jesienna burza,eleventh_storm
nova prime: neuroptyka - schemat,nova_prime_neuroptics_blueprint
mina antymaterii,antimatter_mine
nova prime: powłoka - schemat,nova_prime_chassis_blueprint
pryzmatyczny stróż,prism_guard
as w rękawie,trick_mag
nova prime - schemat,nova_prime_blueprint
więź złudna,deceptive_bond
frost prime: neuroptyka - schemat,frost_prime_neuroptics_blueprint
frost: hełm arkanum squall,arcane_squall_helmet
obliczone przekierowanie,calculated_redirection
elektryczny nabój,charged_shell
czystka corpus,cleanse_corpus
parząca stal,searing_steel
przyspieszone odbicie,accelerated_deflection
grzmiący las,clashing_forest
pierwotny szał,primal_rage
niebiańskie tąpnięcie,celestial_stomp
penta secura,secura_penta
tnący strzał,razor_shot
przygważdżający terror,creeping_terrify
trinity prime - schemat,trinity_prime_blueprint
ponura furia,grim_fury
rzeźba ayatan orta,ayatan_orta_sculpture
przewód energii,energy_channel
poświęcone rozliczenie,hallowed_reckoning
konwulsja,convulsion
arkanum furii,arcane_fury
błyskawiczna odporność,rapid_resilience
pistoletowa zaraza,pistol_pestilence
transformator morficzny prime,primed_morphic_transformer
kruchy pęd,frail_momentum
pociski patogenowe,pathogen_rounds
arkanum egidy,arcane_aegis
nagłe uderzenie,sudden_impact
arkanum konsekwencji,arcane_consequence
hartowane ostrze,tempered_blade
rozpruwacz corpus,smite_corpus
arkanum pobudzenia,arcane_energize
zębata salwa,fanged_fusillade
gladiatorskie postanowienie,gladiator_resolve
duch,ghost
oszroniona amunicja,rime_rounds
vulkar wraith,vulkar_wraith
rzeźba ayatan piv,ayatan_piv_sculpture
pancerz negacji,negation_swarm
garłacz,blunderbuss
sybaris prime: lufa,sybaris_prime_barrel
centaur: egida,centaur_aegis
cephalon suda augment mod,cephalon_suda_augment_mod
banshee prime: powłoka - schemat,banshee_prime_chassis_blueprint
lodowe okowy,chilling_grasp
wukong prime: powłoka - schemat,wukong_prime_chassis_blueprint
płonąca stal,blazing_steel
przegrzanie,fired_up
roztrzaskująca burza,shattering_storm
wyczucie strachu,sense_danger
taniec pocisków,bullet_dance
viper wraith podwójny - schemat,twin_vipers_wraith_blueprint
dzielona komora,split_chamber
północny wiatr,north_wind
szabrowanie amunicji do strzelb,shotgun_scavenger
gammacor synoid,synoid_gammacor
helios prime: zestaw,helios_prime_set
ballistica rakta,rakta_ballistica
hydroid prime: neuroptyka - schemat,hydroid_prime_neuroptics_blueprint
chciwe przyciągnięcie,greedy_pull
silva i aegis prime: zestaw,silva_and_aegis_prime_set
sanktuarium,sanctuary
granaty wiążące,tether_grenades
awiator,aviator
nalot sokoła,swooping_falcon
budowa,constitution
natchniony cios,smite_infusion
kubrow: obroża kavasa prime: zestaw,kavasa_prime_kubrow_collar_set
latron prime: zestaw,latron_prime_set
lex prime: zestaw,lex_prime_set
odonata prime: zestaw,odonata_prime_set
pistoletowy ślizg,gun_glide
oszroniony przeskok,rime_vault
zwyciężona zdobycz,vanquished_prey
woltaiczna lanca,voltaic_lance
zgrabne tempo,deft_tempo
podwójny strzał,double_tap
ostani akt,final_act
ostateczne dobicie,final_tap
komora hydrauliczna,hydraulic_chamber
wskaźnik hydrauliczny,hydraulic_gauge
luźna pokrywa,loose_hatch
zwężona lufa,narrow_barrel
strun wraith: lufa,strun_wraith_barrel
soczewka zenurik eidolon,eidolon_zenurik_lens
destreza prime: rękojeść,destreza_prime_handle
zwiększona wytrzymałość,enhanced_durability
szybkie przełączanie broni,holster_amp
arkanum ciosu,arcane_strike
złowrogi zasięg,sinister_reach
vectis prime: zestaw,vectis_prime_set
strugana modliszka,carving_mantis
przywódca stada prime,primed_pack_leader
arkanum anulacji,arcane_nullifier
rhino prime: zestaw,rhino_prime_set
sicarus prime: zestaw,sicarus_prime_set
grinlokacja,grinloked
arkanum zwycięstwa,arcane_victory
przyspieszone kroki,hastened_steps
w oczekiwaniu,lie_in_wait
boltor prime: korpus,boltor_prime_receiver
boltor prime: kolba,boltor_prime_stock
nocny łowca,night_stalker
heliocor synoid,synoid_heliocor
elytron: systemy,elytron_systems_blueprint
steel meridian augment mod,steel_meridian_augment_mod
cieniste żniwa,shadow_harvest
pieniężna plaga,argent_scourge
tigris prime: lufa,tigris_prime_barrel
wyrzutnik magazynka,eject_magazine
plan b,plan_b
płonąca osa,burning_wasp
ostrzone pociski,sharpened_bullets
pociski rozpruwające,ripper_rounds
soma prime: korpus,soma_prime_receiver
rżnąca spirala,reaping_spiral
soma prime: kolba,soma_prime_stock
szlifowane ostrze,sharpened_blade
ślizgowy ostrzał,strafing_slide
scimitar: zestaw,scimitar_set
rozdzielacze nadwyżki,surplus_diverters
kataklizmiczne kontinuum,cataclysmic_continuum
braton prime: zestaw,braton_prime_set
nieugięty atak,relentless_assault
silva i aegis prime: rękojeść,silva_and_aegis_prime_hilt
wyliczony skok,calculated_spring
pociski kometowe,comet_rounds
hydroid prime: powłoka - schemat,hydroid_prime_chassis_blueprint
aklex prime - schemat,aklex_prime_blueprint
aklex prime: zestaw,aklex_prime_set
ballistica prime - schemat,ballistica_prime_blueprint
niezmącone przecięcie,tranquil_cleave
łączona witalność,link_vitality
przywódca stada,pack_leader
żywa dusza,soul_survivor
molekularna konwersja,molecular_conversion
dudnik,thumper
pośpiech,rush
zainfekowany magazynek,infected_clip
czystka plagi,cleanse_infested
pożoga,blaze
zbieracz,vacuum
generator energii,energy_generator
szkarłatny huragan,scarlet_hurricane
okrutne zbliżenie,vicious_approach
mroźna żuchwa,frost_jaw
elektryczna obroża,shock_collar
lądowanie z przytupem,thrash_landing
drapieżny zasięg,motus_impact
powietrzna przewaga,aero_vantage
drapieżne ustawienie,motus_setup
miażdżący kopniak,gale_kick
drapieżny styl,motus_signal
scena: pokład 12,deck_12_scene
ninkondi prime - schemat,ninkondi_prime_blueprint
zhuge prime: lufa,zhuge_prime_barrel
ninkondi prime: rękojeść,ninkondi_prime_handle
ninkondi prime: zestaw,ninkondi_prime_set
wukong prime: zestaw,wukong_prime_set
scindo prime: rękojeść,scindo_prime_handle
podła precyzja,vile_precision
celownik optyczny,parallax_scope
witalność,vitality
szabrowanie amunicji snajperskiej,sniper_scavenger
kubrow sunika: genotyp,sunika_kubrow_imprint
kavat adarza: genotyp,adarza_kavat_imprint
rubico prime: lufa,rubico_prime_barrel
zwiastun burzy,stormbringer
arkanum erupcji,arcane_eruption
nyx: hełm arkanum vespa,arcane_vespa_helmet
prędkość ucieczki,escape_velocity
zagłada plagi,expel_infested
scena: aleja chmur gazozo,gas_city_cloud_vista_scene
pociski zapalające,combustion_rounds
mutator snajperski,sniper_ammo_mutation
loki prime - schemat,loki_prime_blueprint
siła przebicia,seeking_force
łamacz celu,target_cracker
ulotna ekspertyza,fleeting_expertise
krytyczne opóźnienie,critical_delay
prowokacja,provoked
zepsuty atak,spoiled_strike
płaszcz zapalający,incendiary_coat
mag: hełm arkanum coil,arcane_coil_helmet
wróżbiarskie porozumienie,augur_accord
przełamujący ładunek,breach_loader
kama podwójna prime - schemat,dual_kamas_prime_blueprint
tragedia gai,gaias_tragedy
latron prime: lufa,latron_prime_barrel
karak wraith: lufa,karak_wraith_barrel
soczewka zenurik,zenurik_lens
dryf zwinności,agility_drift
ugryzienie,bite
dopalenie,afterburn
nadciągająca burza,rising_storm
ember prime: zestaw,ember_prime_set
przekierowanie,redirection
fang prime: zestaw,fang_prime_set
zamrażająca kula,chilling_globe
mag prime: zestaw,mag_prime_set
egzotermika,exothermic
nekros prime: neuroptyka - schemat,nekros_prime_neuroptics_blueprint
orle oko,eagle_eye
przeciążenie tarczy,shield_overload
cewka łukowa,arc_coil
sfera chaosu,chaos_sphere
histeryczna obsesja,hysterical_fixation
splugawione rozliczenie,defiled_reckoning
strzał rujnujący,crash_shot
pojemnik amunicji,ammo_case
euphona prime: zestaw,euphona_prime_set
ostrze prawdy,blade_of_truth
skupienie energii,focus_energy
sokole oko,hawk_eye
boar prime - schemat,boar_prime_blueprint
oberon prime: zestaw,oberon_prime_set
centaur: ostrze,centaur_blade
wymiatające nacięcia,sweeping_serration
agkuza: ostrze,agkuza_blade
łączone przekierowanie,link_redirection
tiberon prime - schemat,tiberon_prime_blueprint
tasaki podwójne prisma,prisma_dual_cleavers
ukierunkowane skupienie,directed_convergence
saryn prime - schemat,saryn_prime_blueprint
ciężki uraz prime,primed_heavy_trauma
arkanum przebudzenia,arcane_awakening
radiolokalizator gamma,gamma_beacon
arkanum ultimatum,arcane_ultimatum
dera vandal - schemat,dera_vandal_blueprint
obex prisma,prisma_obex
bo prime: zestaw,bo_prime_set
boar prime: zestaw,boar_prime_set
ballistica prime: korpus,ballistica_prime_receiver
boltor prime: zestaw,boltor_prime_set
strun wraith: kolba,strun_wraith_stock
strun wraith: zestaw,strun_wraith_set
kogake prime: zestaw,kogake_prime_set
kogake prime: rękawica,kogake_prime_gauntlet
zephyr prime - schemat,zephyr_prime_blueprint
lato vandal: zestaw,lato_vandal_set
lato vandal - schemat,lato_vandal_blueprint
lato vandal: lufa,lato_vandal_barrel
braton vandal: zestaw,braton_vandal_set
scena: artyleria osady grineer,grineer_settlement_artillery_scene
scena: szczelina fortecy kuva,kuva_fortress_crevice_scene
scena: wirówka podwodnego laboratorium grineer,grineer_sealab_centrifuge_scene
scena: balkon lua,lua_balcony_scene
reinkarnacja,reawaken
valkyr prime: neuroptyka - schemat,valkyr_prime_neuroptics_blueprint
centaur: rękojeść,centaur_handle
wróżbiarska wiadomość,augur_message
prawdziwa kara,true_punishment
detonacja entropii,entropy_detonation
rozrywający żuraw,rending_crane
patrol rozpoznawczy,air_recon
venka prime - schemat,venka_prime_blueprint
euphona prime - schemat,euphona_prime_blueprint
onorix: rękojeść,onorix_handle
z przyłożenia,point_blank
odbicie,reflection
kłujący cierń,stinging_thorn
wzmacniacz strzelby,shotgun_amp
magus anomalii,magus_anomaly
kama podwójna prime: drzewce,dual_kamas_prime_handle
wirtuoz przypływu,virtuos_surge
zaznaczony cel,marked_target
doładowane ostrza,empowered_blades
kavasa prime: klamra,kavasa_prime_buckle
szczep wystrzału,strain_eruption
stańmy razem,stand_united
kavasa prime: pasek,kavasa_prime_band
scena: tron kuvy,kuva_throne_scene
scena: kanał sanktuarium,sanctuary_conduit_scene
jadowite kły,venom_teeth
wznosząca stal,rising_steel
przebijająca wściekłość,piercing_fury
gwiazda amarast,star_amarast
deskolotka venerdo,venerdo_hoverdrive
palnik smugowy,trail_blazer
skanuj materię,scan_matter
tarcie kinetyczne,kinetic_friction
scan aquatic lifeforms,scan_lifeforms
czas w powietrzu,air_time
szynowe ochraniacze,rail_guards
tryb szturmowy,assault_mode
magnetyczny rygiel,mag_locks
tłumiki bezwładności,inertia_dampeners
akvasto prime: zestaw,akvasto_prime_set
nieskończona agonia,perpetual_agony
opancerzona zwinność,armored_agility
lista ofiar,body_count
arkanum odbicia,arcane_deflection
krwawiące rany,weeping_wounds
akbronco prime: połączenie,akbronco_prime_link
cynobrowa burza,vermillion_storm
okaleczający cios,maiming_strike
badacz,investigator
kroczący w ogniu,firewalker
hydrauliczny celownik,hydraulic_crosshairs
toksyczny lot,toxic_flight
celownik laserowy,laser_sight
rozpruwacz plagi,smite_infested
dawka jadu,venom_dose
tnący zakręt,rending_turn
fala sejsmiczna,seismic_wave
dakra prime: rękojeść,dakra_prime_handle
zagłada grineer,expel_grineer
soma prime: lufa,soma_prime_barrel
mag prime: neuroptyka - schemat,mag_prime_neuroptics_blueprint
szybkie ręce prime,primed_fast_hands
furax wraith: zestaw,furax_wraith_set
wyrafinowany strzelec,dead_eye
mod riven broni białej (ukryty),melee_riven_mod_(veiled)
korodująca projekcja,corrosive_projection
mod riven pistoletu (ukryty),pistol_riven_mod_(veiled)
ciężki uraz,heavy_trauma
eksodia chwały,exodia_valor
ładunek dokomorowy,charged_chamber
oczyszczający przypływ,tidal_impunity
przebijający kaliber,piercing_caliber
ember: hełm arkanum backdraft,arcane_backdraft_helmet
kleisty wybuch,adhesive_blast
kolizja kinetyczna,kinetic_collision
ostrzogrzmot,thundermiter
ostatnie pociągnięcie,finishing_touch
statyczna gotowość,static_alacrity
ash prime: powłoka - schemat,ash_prime_chassis_blueprint
tigris prime - schemat,tigris_prime_blueprint
wschodzące pokłosie,emergent_aftermath
męstwo,fortitude
ash prime: systemy - schemat,ash_prime_systems_blueprint
mag prime: systemy - schemat,mag_prime_systems_blueprint
grakata prisma,prisma_grakata
mobilizacja,mobilize
vectis prime: korpus,vectis_prime_receiver
automatyczny spust,automatic_trigger
opancerzona odnowa,armored_recovery
sydon vaykor,vaykor_sydon
magazynek ślizgowy,slip_magazine
naprowadzany kieł,homing_fang
arkanum łaski,arcane_grace
uderzenie,maul
wzmocniona witalność,enhanced_vitality
bo prime: ornament,bo_prime_ornament
dera vandal: korpus,dera_vandal_receiver
ankyros prime: zestaw,ankyros_prime_set
ohydne przyspieszenie,vile_acceleration
dyfuzja lufy,barrel_diffusion
tornado,whirlwind
antytoksyna,antitoxin
zakłócacz,disruptor
ciężki kaliber,heavy_caliber
strzał penetrujący,piercing_hit
ciągłość,continuity
skażony magazynek,tainted_clip
elektrowstrząs,shock_trooper
przepływ,flow
krytyczne spowolnienie,critical_deceleration
wyrm prime: karapaks,wyrm_prime_carapace
leczący płomień,healing_flame
wulkan atlantydy,atlantis_vulcan
tetra prisma,prisma_tetra
soniczne pęknięcie,sonic_fracture
paris prime: zestaw,paris_prime_set
trinity prime: zestaw,trinity_prime_set
strażnicze uzbrojenie,vigilante_armaments
sybaris prime - schemat,sybaris_prime_blueprint
mamiąca latarnia,beguiling_lantern
ballistica prime: zestaw,ballistica_prime_set
wirtuoz furii,virtuos_fury
wirtuoz zera,virtuos_null
wirtuoz tempa,virtuos_tempo
eksodia mocy,exodia_force
wirtuoz ducha,virtuos_ghost
chromatyczne ostrze,chromatic_blade
zagłada orokin,expel_corrupted
gladiatorska egida,gladiator_aegis
neutralizująca sprawiedliwość,neutralizing_justice
promienisty zodian,radiant_zodian
gryząca pirania,biting_piranha
wukong prime - schemat,wukong_prime_blueprint
wukong prime: systemy - schemat,wukong_prime_systems_blueprint
zhuge prime: cięciwa,zhuge_prime_string
pozłacana prawda,gilded_truth
łączony pancerz,link_fiber
stabilna postawa,sure_footed
krwawiąca wierzba,bleeding_willow
nieugięta wola,undying_will
żelazny feniks,iron_phoenix
spiczasty wiatr,pointed_wind
stabilizator,stabilizer
szabrowanie amunicji karabinowej,rifle_scavenger
ożywienie,quickening
pokrycie lufy rubedo,rubedo_lined_barrel
druzgocący cios,sundering_strike
negacja,negate
atypowy wzrost,peculiar_growth
destreza prime: ostrze,destreza_prime_blade
mecha wzmocnienie,mecha_empowered
mecha impuls,mecha_pulse
maficzny deszcz,mafic_rain
powalone drzewo,crashing_timber
splamiona hydra,tainted_hydra
