uk,slug
чжуґе-прайм: ствольна коробка,zhuge_prime_receiver
чжуґе-прайм (комплект),zhuge_prime_set
вукон-прайм: нейроптика (кресленик),wukong_prime_neuroptics_blueprint
згубна відстань,ruinous_extension
дикість,savagery
пістолетний гамбіт,pistol_gambit
сяйнистий занепад,gleaming_blight
ембер-прайм: нейроптика (кресленик),ember_prime_neuroptics_blueprint
тривале страждання,lingering_torment
убивчий постріл,hammer_shot
праймована мутація в набої рушниці,primed_shotgun_ammo_mutation
містична швидкість,arcane_velocity
нікс-прайм (кресленик),nyx_prime_blueprint
дера-вандал: ложе,dera_vandal_stock
карак-примара (кресленик),karak_wraith_blueprint
нікс-прайм: системи (кресленик),nyx_prime_systems_blueprint
розгойдувальний трос,swing_line
парні ками-прайм (комплект),dual_kamas_prime_set
стримана черга,measured_burst
захисний обмін положенням,safeguard_switch
тінь-призма,prisma_shade
панорама: газове місто — вестибюль,gas_city_lobby_scene
перенапруження,overextended
охорона,protect
повне затемнення,total_eclipse
містичний шолом «пульс»,arcane_pulse_helmet
гонитва чатового,vigilante_pursuit
очищувальний випад,purging_slash
містичний шолом «ґаусс» для меґ,arcane_mag_gauss_helmet
прадавнє ядро злиття,ancient_fusion_core
фуракс-примара: права рукавиця,furax_wraith_right_gauntlet
проникний удар,auger_strike
нікс-прайм: нейроптика (кресленик),nyx_prime_neuroptics_blueprint
райно-прайм (кресленик),rhino_prime_blueprint
тверді руки,steady_hands
тигріс-прайм: ствольна коробка,tigris_prime_receiver
перетворення енергії,energy_conversion
містична стійкість,arcane_resistance
летальна злива,lethal_torrent
війна: клинок,war_blade
вияв уразливостей,detect_vulnerability
стихійна піщана буря,elemental_sandstorm
сталеве волокно,steel_fiber
збільшення магазину,magazine_extension
прихована вибухівка,concealed_explosives
праймоване спустошення,primed_ravage
неповне заряджання,depleted_reload
геліос-прайм: панцир,helios_prime_carapace
змій-прайм: системи,wyrm_prime_systems
трініті-прайм: нейроптика (кресленик),trinity_prime_neuroptics_blueprint
вибрик розуму,mind_freak
ікла-прайм: руків’я,fang_prime_handle
обтічність,streamline
теплоізоляція,insulation
стиснений магазин,pressurized_magazine
приціл для засідки,ambush_optics
нікс-прайм: каркас (кресленик),nyx_prime_chassis_blueprint
електромісткість,capacitance
ущільнення набоїв,shell_compression
локі-прайм: каркас (кресленик),loki_prime_chassis_blueprint
бур,bore
сигнальна ракета,signal_flare
блискавичний ривок,lightning_dash
меґ-прайм: каркас (кресленик),mag_prime_chassis_blueprint
снайптрон-вандал (комплект),snipetron_vandal_set
нищівний маневр,battering_maneuver
проникний крок,piercing_step
вогненне шаленство,fireball_frenzy
незупинне очищення,lasting_purity
накопичувач енергії,energy_siphon
крадькома,stalk
деформований магазин,magazine_warp
проникнення,infiltrate
звивиста гадюка,coiling_viper
праймована больова точка,primed_pressure_point
холодний хват,cold_snap
пекельний зарядник,hells_chamber
накопичений занепад,stockpiled_blight
намі-скила-прайм: руків’я,nami_skyla_prime_handle
хлисткий вітер,fracturing_wind
блискавиця,fulmination
барабанний магазин,ammo_drum
величний вигнанець,sovereign_outcast
міць гладіатора,gladiator_might
важке зіткнення,heavy_impact
удар блискавки,thunderbolt
ставок життя,pool_of_life
сплеск ентропії,entropy_burst
фатальний потяг,fatal_attraction
сейсмічні долоні,seismic_palm
больова точка,pressure_point
модифіковані боєприпаси,modified_munitions
вроджений талант,natural_talent
підкаліберна куля,flechette
мерехтливий занепад,shimmering_blight
леза правосуддя,justice_blades
убивчий гул,buzz_kill
пірана-прайм (кресленик),pyrana_prime_blueprint
пірана-прайм: ствольна коробка,pyrana_prime_receiver
пірана-прайм: ствол,pyrana_prime_barrel
дестреза-прайм (комплект),destreza_prime_set
праймований відстріл ґрінерів,primed_expel_grineer
праймований відстріл корпусу,primed_expel_corpus
праймований відстріл заражених,primed_expel_infested
праймований відстріл орокінів,primed_expel_corrupted
тремкі руки,quaking_hand
вогняна залоза,flame_gland
роздільні леза,dividing_blades
гладкий фазмін,smooth_phasmin
містичний імпульс,arcane_pulse
несподіване правосуддя,sudden_justice
кровотік,blood_rush
шрапнельний постріл,shrapnel_shot
витік охолодження,coolant_leak
охоронець-відновник,ward_recovery
праймований пекельний заряд,primed_heated_charge
нейтронна зірка,neutron_star
прострілений череп,skull_shots
локі-прайм: нейроптика (кресленик),loki_prime_neuroptics_blueprint
запал чатового,vigilante_fervor
анкирос-прайм: клинок,ankyros_prime_blade
анкирос-прайм: рукавиця,ankyros_prime_gauntlet
бо-прайм (кресленик),bo_prime_blueprint
сильва й еґіда-прайм: щит,silva_and_aegis_prime_guard
порочний мороз,vicious_frost
зубчасте лезо,jagged_edge
руйнування щита,shield_disruption
маґус «бадьорість»,magus_vigor
рушничний залп,shotgun_barrage
містичний шолом «обман»,arcane_swindle_helmet
натиск гладіатора,gladiator_vice
містичний шолом «меридіан»,arcane_meridian_helmet
легендарне ядро,legendary_fusion_core
тигріс-прайм: ложе,tigris_prime_stock
верткі голки,spinning_needle
снайптрон-вандал: ложе,snipetron_vandal_stock
пожежа,wildfire
погибель ґрінерів,bane_of_grineer
ятаган: авіоніка (кресленик),scimitar_avionics_blueprint
захисний рефлекс,reflex_guard
довічна опіка,everlasting_ward
еш-прайм: нейроптика (кресленик),ash_prime_neuroptics_blueprint
струс,jolt
вектис-прайм: ложе,vectis_prime_stock
приголомшлива швидкість,stunning_speed
праймована безперервність,primed_continuity
бо-прайм: руків’я,bo_prime_handle
ударне спрямування,crash_course
обхід важливих систем,vital_systems_bypass
сингулярність,singularity
броньована акробатика,armored_acrobatics
смертоносне пришвидшення,lethal_momentum
праймована погибель заражених,primed_bane_of_infested
праймована погибель корпусу,primed_bane_of_corpus
носій-прайм (кресленик),carrier_prime_blueprint
лисяча морда,vulpine_mask
праймована погибель ґрінерів,primed_bane_of_grineer
вектис-прайм: ствол,vectis_prime_barrel
тактичний подавач,tactical_pump
містичний шолом «ментоцид»,arcane_menticide_helmet
містичний шолом «аврора»,arcane_aurora_helmet
сома-прайм (кресленик),soma_prime_blueprint
з повідця,unleashed
васто-прайм: ствол,vasto_prime_barrel
містичний шолом «хор»,arcane_chorus_helmet
васто-прайм (кресленик),vasto_prime_blueprint
політ ентропії,entropy_flight
зарина-прайм (комплект),saryn_prime_set
пострибайчик,poppin_vert
маґус «лагодження»,magus_repair
маґус «хиба»,magus_glitch
бездоганна рівновага,perfect_balance
хворобливе поглинання,strain_consume
модифікатор розколу для зо (прихований),zaw_riven_mod_(veiled)
вовча довбня (кресленик),wolf_sledge_blueprint
маґус «надвантага»,magus_overload
молекулярне розщеплення,molecular_fission
вовча довбня: рушій,wolf_sledge_motor
дике шаленство,wild_frenzy
напалмова граната,napalm_grenades
тіпедо-прайм: руків’я,tipedo_prime_handle
страдавар-прайм (комплект),stradavar_prime_set
еквінокс-прайм (кресленик),equinox_prime_blueprint
бронко-прайм: ствол,bronco_prime_barrel
війна: ефес,war_hilt
нова-прайм: системи (кресленик),nova_prime_systems_blueprint
фрост-прайм (кресленик),frost_prime_blueprint
бронко-прайм (кресленик),bronco_prime_blueprint
астральний присмерк,astral_twilight
швидкий постріл,snap_shot
берстон-прайм: ствольна коробка,burston_prime_receiver
ікла-прайм: клинок,fang_prime_blade
вобан-прайм: нейроптика (кресленик),vauban_prime_neuroptics_blueprint
хіко-прайм: сюрикени,hikou_prime_stars
зловмисник,intruder
анґструм-призма,prisma_angstrum
федра: ложе,phaedra_stock
спалення,scorch
шип ентропії,entropy_spike
одинадцятибальний шторм,eleventh_storm
нова-прайм: нейроптика (кресленик),nova_prime_neuroptics_blueprint
бомба з антиматерії,antimatter_mine
нова-прайм: каркас (кресленик),nova_prime_chassis_blueprint
призмовий вартовий,prism_guard
оманливий магазин,trick_mag
нова-прайм (кресленик),nova_prime_blueprint
оманливий зв’язок,deceptive_bond
фрост-прайм: нейроптика (кресленик),frost_prime_neuroptics_blueprint
містичний шолом «шквал»,arcane_squall_helmet
вирахуване переспрямування,calculated_redirection
заряджені набої,charged_shell
зачистка корпусу,cleanse_corpus
пекуча сталь,searing_steel
підсилене заломлення,accelerated_deflection
гуркітливий ліс,clashing_forest
первісне шаленство,primal_rage
зоряне тупотіння,celestial_stomp
пента-секура,secura_penta
лезостріл,razor_shot
моторошний жах,creeping_terrify
трініті-прайм (кресленик),trinity_prime_blueprint
нещадна лють,grim_fury
аятана-скульптура «орта»,ayatan_orta_sculpture
енергетичний канал,energy_channel
свята розплата,hallowed_reckoning
конвульсія,convulsion
містична лють,arcane_fury
стрімка стійкість,rapid_resilience
бубонний пістолет,pistol_pestilence
праймований морфічний перетворювач,primed_morphic_transformer
слабкий імпульс,frail_momentum
набої з патогеном,pathogen_rounds
містична еґіда,arcane_aegis
раптовий удар,sudden_impact
містичний наслідок,arcane_consequence
гартоване лезо,tempered_blade
вирізання корпусу,smite_corpus
містичне підживлення,arcane_energize
зубчастий розстріл,fanged_fusillade
рішучість гладіатора,gladiator_resolve
примара,ghost
паморозні набої,rime_rounds
вулкар-примара,vulkar_wraith
аятана-скульптура «пів»,ayatan_piv_sculpture
ігнорування захисту,negation_swarm
мушкетон,blunderbuss
сибаріс-прайм: ствол,sybaris_prime_barrel
кентавр: еґіда,centaur_aegis
модифікатори-розширення «цефалонки суда»,cephalon_suda_augment_mod
банші-прайм: каркас (кресленик),banshee_prime_chassis_blueprint
крижаний хват,chilling_grasp
вукон-прайм: каркас (кресленик),wukong_prime_chassis_blueprint
розпечена сталь,blazing_steel
розігрів,fired_up
руйнівний шторм,shattering_storm
чуття страху,sense_danger
танець куль,bullet_dance
парні гадюки-примари (кресленик),twin_vipers_wraith_blueprint
розділений зарядник,split_chamber
північні вітри,north_wind
збирач із рушницею,shotgun_scavenger
гаммакор-синоїд,synoid_gammacor
геліос-прайм (комплект),helios_prime_set
балістика-ракта,rakta_ballistica
гідроїд-прайм: нейроптика (кресленик),hydroid_prime_neuroptics_blueprint
жадібне тяжіння,greedy_pull
сильва й еґіда-прайм (комплект),silva_and_aegis_prime_set
укриття,sanctuary
зв’язувальна граната,tether_grenades
авіатор,aviator
наліт сокола,swooping_falcon
статура,constitution
потрощене вливання,smite_infusion
нашийник «каваса-прайм» для куброу (комплект),kavasa_prime_kubrow_collar_set
пагуба-прайм (комплект),latron_prime_set
лекс-прайм (комплект),lex_prime_set
одоната-прайм (комплект),odonata_prime_set
ковзка зброя,gun_glide
паморозний стрибок,rime_vault
здолана здобич,vanquished_prey
гальванічний ривок,voltaic_lance
ритмічна спритність,deft_tempo
подвійне натискання,double_tap
завершальна дія,final_act
завершальний дотик,final_tap
гідравлічний зарядник,hydraulic_chamber
гідравлічний манометр,hydraulic_gauge
ковзний затвор,loose_hatch
звужений ствол,narrow_barrel
стран-примара: ствол,strun_wraith_barrel
ейдолонська лінза зенурік,eidolon_zenurik_lens
дестреза-прайм: руків’я,destreza_prime_handle
збільшена міцність,enhanced_durability
швидка кобура,holster_amp
містичний удар,arcane_strike
зловісне сягання,sinister_reach
вектис-прайм (комплект),vectis_prime_set
різьблення богомола,carving_mantis
праймований ватажок зграї,primed_pack_leader
містичне занулення,arcane_nullifier
райно-прайм (комплект),rhino_prime_set
сикар-прайм (комплект),sicarus_prime_set
пристрілювання,grinloked
містична перемога,arcane_victory
стрімкі кроки,hastened_steps
постріл із засідки,lie_in_wait
болтор-прайм: ствольна коробка,boltor_prime_receiver
болтор-прайм: ложе,boltor_prime_stock
нічний переслідувач,night_stalker
геліокор-синоїд,synoid_heliocor
елитрон: системи,elytron_systems_blueprint
модифікатори-розширення «сталевого меридіану»,steel_meridian_augment_mod
гіркі жнива,shadow_harvest
срібляста напасть,argent_scourge
тигріс-прайм: ствол,tigris_prime_barrel
викидна обойма,eject_magazine
запасний план,plan_b
пекуча оса,burning_wasp
загострені кулі,sharpened_bullets
проникні набої,ripper_rounds
сома-прайм: ствольна коробка,soma_prime_receiver
жниварка,reaping_spiral
сома-прайм: ложе,soma_prime_stock
загострене лезо,sharpened_blade
ковзний обстріл,strafing_slide
ятаган (комплект),scimitar_set
перенаправлення надлишків,surplus_diverters
тривалий катаклізм,cataclysmic_continuum
братон-прайм (комплект),braton_prime_set
невпинне винищення,relentless_assault
сильва й еґіда-прайм: ефес,silva_and_aegis_prime_hilt
обрахований стрибок,calculated_spring
кометні набої,comet_rounds
гідроїд-прайм: каркас (кресленик),hydroid_prime_chassis_blueprint
аклекс-прайм (кресленик),aklex_prime_blueprint
аклекс-прайм (комплект),aklex_prime_set
балістика-прайм (кресленик),ballistica_prime_blueprint
супокійний розкол,tranquil_cleave
зв’язок життєвості,link_vitality
ватажок зграї,pack_leader
уціліла душа,soul_survivor
молекулярне перетворення,molecular_conversion
тупотун,thumper
натиск,rush
заражений магазин,infected_clip
зачистка заражених,cleanse_infested
горіння,blaze
вакуум,vacuum
енергостанція,energy_generator
багровий ураган,scarlet_hurricane
безжальний наступ,vicious_approach
крижана щелепа,frost_jaw
електричний нашийник,shock_collar
вибухове приземлення,thrash_landing
удар хижака,motus_impact
повітряна перевага,aero_vantage
план хижака,motus_setup
штормовий копняк,gale_kick
сигнал хижака,motus_signal
панорама: палуба 12,deck_12_scene
нінконді-прайм (кресленик),ninkondi_prime_blueprint
чжуґе-прайм: ствол,zhuge_prime_barrel
нінконді-прайм: руків’я,ninkondi_prime_handle
нінконді-прайм (комплект),ninkondi_prime_set
вукон-прайм (комплект),wukong_prime_set
скіндо-прайм: руків’я,scindo_prime_handle
підступна влучність,vile_precision
паралаксний приціл,parallax_scope
життєвість,vitality
збирач зі снайперською гвинтівкою,sniper_scavenger
відбиток: куброу суніка,sunika_kubrow_imprint
відбиток: адарзовий кават,adarza_kavat_imprint
рубіко-прайм: ствол,rubico_prime_barrel
громовержець,stormbringer
містичне виверження,arcane_eruption
містичний шолом «оса»,arcane_vespa_helmet
швидкість утечі,escape_velocity
відстріл заражених,expel_infested
панорама: газове місто — хмари,gas_city_cloud_vista_scene
запальні кулі,combustion_rounds
мутація в набої до снайперської гвинтівки,sniper_ammo_mutation
локі-прайм (кресленик),loki_prime_blueprint
сила пробиття,seeking_force
цілелам,target_cracker
мимовільна майстерність,fleeting_expertise
критичне зволікання,critical_delay
провокація,provoked
лихий удар,spoiled_strike
запальне покриття,incendiary_coat
містичний шолом «котушка»,arcane_coil_helmet
гармонія віщуна,augur_accord
пробійний зарядник,breach_loader
парні ками-прайм (кресленик),dual_kamas_prime_blueprint
трагедія ґаї,gaias_tragedy
пагуба-прайм: ствол,latron_prime_barrel
карак-примара: ствол,karak_wraith_barrel
лінза зенурік,zenurik_lens
припливна спритність,agility_drift
укус,bite
доспалення,afterburn
висхідна буря,rising_storm
ембер-прайм (комплект),ember_prime_set
переспрямування,redirection
ікла-прайм (комплект),fang_prime_set
морозна куля,chilling_globe
меґ-прайм (комплект),mag_prime_set
тепловиділення,exothermic
некрос-прайм: нейроптика (кресленик),nekros_prime_neuroptics_blueprint
орлине око,eagle_eye
перевантаження щитів,shield_overload
індукційна котушка,arc_coil
куля хаосу,chaos_sphere
істеричне зосередження,hysterical_fixation
осквернена розплата,defiled_reckoning
ламальний постріл,crash_shot
скриня з набоями,ammo_case
юфона-прайм (комплект),euphona_prime_set
лезо правди,blade_of_truth
зосередження енергії,focus_energy
око яструба,hawk_eye
вепр-прайм (кресленик),boar_prime_blueprint
оберон-прайм (комплект),oberon_prime_set
кентавр: клинок,centaur_blade
змітні зубці,sweeping_serration
аґкуза: клинок,agkuza_blade
зв’язок переспрямування,link_redirection
тіберон-прайм (кресленик),tiberon_prime_blueprint
парні сікачі-призма,prisma_dual_cleavers
направлене скупчення,directed_convergence
зарина-прайм (кресленик),saryn_prime_blueprint
праймована важка травма,primed_heavy_trauma
містичне пробудження,arcane_awakening
радіомаяк «гамма»,gamma_beacon
містичний ультиматум,arcane_ultimatum
дера-вандал (кресленик),dera_vandal_blueprint
обекс-призма,prisma_obex
бо-прайм (комплект),bo_prime_set
вепр-прайм (комплект),boar_prime_set
балістика-прайм: ствольна коробка,ballistica_prime_receiver
болтор-прайм (комплект),boltor_prime_set
стран-примара: ложе,strun_wraith_stock
стран-примара (комплект),strun_wraith_set
коґаке-прайм (комплект),kogake_prime_set
коґаке-прайм: рукавиця,kogake_prime_gauntlet
зефіра-прайм (кресленик),zephyr_prime_blueprint
лато-вандал (комплект),lato_vandal_set
лато-вандал (кресленик),lato_vandal_blueprint
лато-вандал: ствол,lato_vandal_barrel
братон-вандал (комплект),braton_vandal_set
панорама: ґрінерське поселення — артилерійська установка,grineer_settlement_artillery_scene
панорама: кувова фортеця — ущелина,kuva_fortress_crevice_scene
панорама: ґрінерська підводна лабораторія — центрифуга,grineer_sealab_centrifuge_scene
панорама: луа — балкон,lua_balcony_scene
переродження,reawaken
валькірія-прайм: нейроптика (кресленик),valkyr_prime_neuroptics_blueprint
кентавр: руків’я,centaur_handle
послання віщуна,augur_message
справжнє покарання,true_punishment
вибух ентропії,entropy_detonation
несамовитий журавель,rending_crane
повітряна розвідка,air_recon
венка-прайм (кресленик),venka_prime_blueprint
юфона-прайм (кресленик),euphona_prime_blueprint
онорікс: руків’я,onorix_handle
упритул,point_blank
відбиття,reflection
пекуче жало,stinging_thorn
підсилювач рушниці,shotgun_amp
маґус «аномалія»,magus_anomaly
парні ками-прайм: руків’я,dual_kamas_prime_handle
віртус «імпульс»,virtuos_surge
позначена ціль,marked_target
посилені леза,empowered_blades
каваса-прайм: пряжка,kavasa_prime_buckle
хворобливе виверження,strain_eruption
в єдності сила,stand_united
каваса-прайм: пасок,kavasa_prime_band
панорама: трон кувових королев,kuva_throne_scene
панорама: заповідник — канал,sanctuary_conduit_scene
отруйні ікла,venom_teeth
висхідна сталь,rising_steel
пронизлива лють,piercing_fury
зоряний амараст,star_amarast
венердовий рушій,venerdo_hoverdrive
вогняний хвіст,trail_blazer
шукач ресурсів,scan_matter
кінетичне тертя,kinetic_friction
шукач водних істот,scan_lifeforms
час літати,air_time
рейковий захист,rail_guards
штурмовий режим,assault_mode
магнетичні замки,mag_locks
інерційні обмежувачі,inertia_dampeners
аквасто-прайм (комплект),akvasto_prime_set
нескінченна агонія,perpetual_agony
броньована спритність,armored_agility
список жертв,body_count
містичне відхилення,arcane_deflection
відкриті рани,weeping_wounds
акбронко-прайм: спаровувач,akbronco_prime_link
багряний шторм,vermillion_storm
удар калічення,maiming_strike
дослідник,investigator
вогнеступ,firewalker
гідравлічне перехрестя,hydraulic_crosshairs
токсичний політ,toxic_flight
лазерний приціл,laser_sight
вирізання заражених,smite_infested
отруйна доза,venom_dose
разючий оберт,rending_turn
сейсмічна хвиля,seismic_wave
дакра-прайм: руків’я,dakra_prime_handle
відстріл ґрінерів,expel_grineer
сома-прайм: ствол,soma_prime_barrel
меґ-прайм: нейроптика (кресленик),mag_prime_neuroptics_blueprint
праймовані швидкі руки,primed_fast_hands
фуракс-примара (комплект),furax_wraith_set
винятковий стрілець,dead_eye
модифікатор розколу для холодної зброї (прихований),melee_riven_mod_(veiled)
викид корозії,corrosive_projection
модифікатор розколу для пістолетів (прихований),pistol_riven_mod_(veiled)
важка травма,heavy_trauma
екзодія «хоробрість»,exodia_valor
повний зарядник,charged_chamber
припливна безкарність,tidal_impunity
пробивний калібр,piercing_caliber
містичний шолом «вогняний вихор»,arcane_backdraft_helmet
клейкий вибух,adhesive_blast
кінетичне зіткнення,kinetic_collision
громовиця,thundermiter
останній штрих,finishing_touch
непорушна жвавість,static_alacrity
еш-прайм: каркас (кресленик),ash_prime_chassis_blueprint
тигріс-прайм (кресленик),tigris_prime_blueprint
надзвичайні наслідки,emergent_aftermath
стійкість,fortitude
еш-прайм: системи (кресленик),ash_prime_systems_blueprint
меґ-прайм: системи (кресленик),mag_prime_systems_blueprint
ґраката-призма,prisma_grakata
мобілізація,mobilize
вектис-прайм: ствольна коробка,vectis_prime_receiver
автоматичний гачок,automatic_trigger
броньоване відновлення,armored_recovery
сейдон-вейкор,vaykor_sydon
гнучкий магазин,slip_magazine
скеровне ікло,homing_fang
містична благодать,arcane_grace
нівечення,maul
поліпшена життєвість,enhanced_vitality
бо-прайм: орнамент,bo_prime_ornament
дера-вандал: ствольна коробка,dera_vandal_receiver
анкирос-прайм (комплект),ankyros_prime_set
підле пришвидшення,vile_acceleration
роздвоєний ствол,barrel_diffusion
смерч,whirlwind
антитоксин,antitoxin
розколювач,disruptor
великий калібр,heavy_caliber
проникне влучання,piercing_hit
безперервність,continuity
зіпсована обойма,tainted_clip
шоковий десантник,shock_trooper
прилив,flow
критичне сповільнення,critical_deceleration
змій-прайм: панцир,wyrm_prime_carapace
лікувальне полум’я,healing_flame
вулкан атлантиди,atlantis_vulcan
тетра-призма,prisma_tetra
звуковий розлом,sonic_fracture
паріс-прайм (комплект),paris_prime_set
трініті-прайм (комплект),trinity_prime_set
озброєння чатового,vigilante_armaments
сибаріс-прайм (кресленик),sybaris_prime_blueprint
заманливий ліхтар,beguiling_lantern
балістика-прайм (комплект),ballistica_prime_set
віртус «лють»,virtuos_fury
віртус «ніщо»,virtuos_null
віртус «ритм»,virtuos_tempo
екзодія «сила»,exodia_force
віртус «примара»,virtuos_ghost
барвистий клинок,chromatic_blade
відстріл орокінів,expel_corrupted
еґіда гладіатора,gladiator_aegis
вимикальне правосуддя,neutralizing_justice
сяйнистий зодіан,radiant_zodian
їдка піранья,biting_piranha
вукон-прайм (кресленик),wukong_prime_blueprint
вукон-прайм: системи (кресленик),wukong_prime_systems_blueprint
чжуґе-прайм: тятива,zhuge_prime_string
позолочена правда,gilded_truth
зв’язок покриву,link_fiber
тверда постава,sure_footed
кровоточива верба,bleeding_willow
нездоланна воля,undying_will
залізний фенікс,iron_phoenix
скеровний вітер,pointed_wind
стабілізатор,stabilizer
збирач із гвинтівкою,rifle_scavenger
прискорювач,quickening
рубедовий ствол,rubedo_lined_barrel
нищівний удар,sundering_strike
нанівець,negate
особливий ріст,peculiar_growth
дестреза-прайм: клинок,destreza_prime_blade
посилення меха,mecha_empowered
пульсація меха,mecha_pulse
мафічна злива,mafic_rain
звалене дерево,crashing_timber
заражена гідра,tainted_hydra
хлисткий змійовик,lashing_coil
відновлення,regen
аклекс-прайм: спаровувач,aklex_prime_link
швидкий спуск,speed_trigger
таємниці віщуна,augur_secrets
панорама: гарнізон креси,cressas_garrison_scene
