ru,slug
ортос прайм: клинок,orthos_prime_blade
локи прайм: система (чертеж),loki_prime_systems_blueprint
линза: нарамон,naramon_lens
совместное течение,coaction_drift
оглушение дробовика,shotgun_savvy
вулканическая грань,volcanic_edge
одоната прайм: упряжь (чертеж),odonata_prime_harness_blueprint
второе дыхание,secondary_wind
одоната прайм: система (чертеж),odonata_prime_systems_blueprint
точечный удар,point_strike
стремительный удар,soaring_strike
избиение,pummel
велоцитус: приклад,velocitus_stock
рэтбон: рукоять,rathbone_handle
рэтбон: молот,rathbone_head
латрон призрак: ствол,latron_wraith_barrel
горячий заряд,heated_charge
перенаправление системы,system_reroute
горгона призрак: приёмник,gorgon_wraith_receiver
просчитанный выстрел,calculated_shot
биоэнергия,vigor
хико прайм: кисет,hikou_prime_pouch
жнец прайм (чертеж),reaper_prime_blueprint
мистический шлем: трак,arcane_thrak_helmet
в упор прайм,primed_point_blank
сила трех,power_of_three
рино прайм: нейрооптика (чертеж),rhino_prime_neuroptics_blueprint
обезоруживающая чистота,disarming_purity
горгона призрак: приклад,gorgon_wraith_stock
баллистика прайм: тетива,ballistica_prime_string
перекрещенные змеи,crossing_snakes
омоложение,rejuvenation
раскоп,dig
кромсатель,shredder
непрерывные страдания,continuous_misery
васто прайм: комплект,vasto_prime_set
мистический шлем: авалон,arcane_avalon_helmet
термитные патроны,thermite_rounds
мистический шлем: поток,arcane_flux_helmet
телос акболто,telos_akbolto
мистический шлем: аура,arcane_aura_helmet
санкти кастанас,sancti_castanas
удар бездны,rift_strike
взрыв вулкана,vulcan_blitz
мистический шлем: гамбит,arcane_gambit_helmet
мистический шлем: хлора,arcane_chlora_helmet
мистический шлем: эспри,arcane_esprit_helmet
мистический обман,arcane_trickery
оберон прайм: нейрооптика (чертеж),oberon_prime_neuroptics_blueprint
вольт прайм: нейрооптика (чертеж),volt_prime_neuroptics_blueprint
мистический шлем: феникс,arcane_phoenix_helmet
баллистика прайм: нижнее плечо,ballistica_prime_lower_limb
вольт прайм: каркас (чертеж),volt_prime_chassis_blueprint
верид-маркиз,marquise_veridos
мистический шлем: реверб,arcane_reverb_helmet
взрывной обман,explosive_legerdemain
крушитель: орокин,smite_corrupted
мистический шлем: хемлок,arcane_hemlock_helmet
вампирская пиявка,vampire_leech
чжугэ прайм (чертеж),zhuge_prime_blueprint
нинконди прайм: цепь,ninkondi_prime_chain
чжугэ прайм: приёмник,zhuge_prime_receiver
чжугэ прайм: комплект,zhuge_prime_set
вуконг прайм: нейрооптика (чертеж),wukong_prime_neuroptics_blueprint
разрушительное растяжение,ruinous_extension
дикость,savagery
пистолетный гамбит,pistol_gambit
блестящая гниль,gleaming_blight
эмбер прайм: нейрооптика (чертеж),ember_prime_neuroptics_blueprint
долгие мучения,lingering_torment
мощный выстрел,hammer_shot
мутатор прайм: дробовик,primed_shotgun_ammo_mutation
мистическая скорость,arcane_velocity
никс прайм (чертеж),nyx_prime_blueprint
дера вандал: приклад,dera_vandal_stock
карак призрак (чертеж),karak_wraith_blueprint
никс прайм: система (чертеж),nyx_prime_systems_blueprint
шнур раскачки,swing_line
парные камы прайм: комплект,dual_kamas_prime_set
размеренная очередь,measured_burst
защитная транспозиция,safeguard_switch
шейд призма,prisma_shade
сцена: газовый город - вестибюль,gas_city_lobby_scene
перенапряжение,overextended
защита,protect
полное затмение,total_eclipse
мистический шлем: импульс,arcane_pulse_helmet
карательная слежка,vigilante_pursuit
очищающий рывок,purging_slash
мистический шлем мэг: гаусс,arcane_mag_gauss_helmet
древнее ядро синтеза,ancient_fusion_core
фуракс призрак: правая перчатка,furax_wraith_right_gauntlet
пробивающий удар,auger_strike
никс прайм: нейрооптика (чертеж),nyx_prime_neuroptics_blueprint
рино прайм (чертеж),rhino_prime_blueprint
устойчивые руки,steady_hands
тигрис прайм: приёмник,tigris_prime_receiver
преобразование энергии,energy_conversion
мистическое сопротивление,arcane_resistance
смертоносный ливень,lethal_torrent
война: лезвие,war_blade
обнаружена уязвимость,detect_vulnerability
элементальная буря,elemental_sandstorm
стальное волокно,steel_fiber
расширение магазина,magazine_extension
скрытая взрывчатка,concealed_explosives
опустошение прайм,primed_ravage
истощённая перезарядка,depleted_reload
гелиос прайм: панцирь,helios_prime_carapace
вирм прайм: система,wyrm_prime_systems
тринити прайм: нейрооптика (чертеж),trinity_prime_neuroptics_blueprint
каприз разума,mind_freak
клыки прайм: рукоять,fang_prime_handle
обтекаемость,streamline
утепление,insulation
уплотненный магазин,pressurized_magazine
оптика для засады,ambush_optics
никс прайм: каркас (чертеж),nyx_prime_chassis_blueprint
конденсатор,capacitance
укладка боеприпасов,shell_compression
локи прайм: каркас (чертеж),loki_prime_chassis_blueprint
сверло,bore
сигнальная вспышка,signal_flare
молниеносный бросок,lightning_dash
мэг прайм: каркас (чертеж),mag_prime_chassis_blueprint
снайптрон вандал: комплект,snipetron_vandal_set
сбивающий манёвр,battering_maneuver
проникающий шаг,piercing_step
огненная ярость,fireball_frenzy
убежденная чистота,lasting_purity
энергетический источник,energy_siphon
выслеживание,stalk
искажение магазина,magazine_warp
проникновение,infiltrate
вьющаяся змея,coiling_viper
болевая точка прайм,primed_pressure_point
ледяной захват,cold_snap
адский патронник,hells_chamber
концентрированная гниль,stockpiled_blight
нами скила прайм: рукоять,nami_skyla_prime_handle
разрывающий ветер,fracturing_wind
инициирование,fulmination
барабанный магазин,ammo_drum
независимый изгнанник,sovereign_outcast
сила гладиатора,gladiator_might
тяжёлое приземление,heavy_impact
громобой,thunderbolt
жизненный пруд,pool_of_life
энтропийный взрыв,entropy_burst
смертельное влечение,fatal_attraction
сотрясающая ладонь,seismic_palm
болевая точка,pressure_point
модифицированные боеприпасы,modified_munitions
врожденный талант,natural_talent
игольчатые снаряды,flechette
мерцающая пагубь,shimmering_blight
лезвия справедливости,justice_blades
убивающий гул,buzz_kill
пирана прайм (чертеж),pyrana_prime_blueprint
пирана прайм: приёмник,pyrana_prime_receiver
пирана прайм: ствол,pyrana_prime_barrel
дестреза прайм: комплект,destreza_prime_set
изгнание прайм: гринир,primed_expel_grineer
изгнание прайм: корпус,primed_expel_corpus
изгнание прайм: заражённые,primed_expel_infested
изгнание прайм: орокин,primed_expel_corrupted
сотрясающая рука,quaking_hand
огненная железа,flame_gland
разделяющие лезвия,dividing_blades
ограненный фазмин,smooth_phasmin
мистический импульс,arcane_pulse
внезапное правосудие,sudden_justice
приток крови,blood_rush
шрапнельный выстрел,shrapnel_shot
утечка охлаждения,coolant_leak
оберегающее восстановление,ward_recovery
горячий заряд прайм,primed_heated_charge
нейтронная звезда,neutron_star
выстрел в голову,skull_shots
локи прайм: нейрооптика (чертеж),loki_prime_neuroptics_blueprint
карательный запал,vigilante_fervor
анкирос прайм: лезвие,ankyros_prime_blade
анкирос прайм: перчатка,ankyros_prime_gauntlet
бо прайм (чертеж),bo_prime_blueprint
сильва и эгида прайм: щит,silva_and_aegis_prime_guard
порочный мороз,vicious_frost
зазубренное лезвие,jagged_edge
разрушение щита,shield_disruption
биоэнергия волхва,magus_vigor
выстрел дробовика,shotgun_barrage
мистический шлем: обман,arcane_swindle_helmet
натиск гладиатора,gladiator_vice
мистический шлем: меридиан,arcane_meridian_helmet
легендарное ядро,legendary_fusion_core
тигрис прайм: приклад,tigris_prime_stock
вращающаяся игла,spinning_needle
снайптрон вандал: приклад,snipetron_vandal_stock
пожар,wildfire
погибель: гринир,bane_of_grineer
скимитар: авионика (чертеж),scimitar_avionics_blueprint
защитный рефлекс,reflex_guard
вечный страж,everlasting_ward
эш прайм: нейрооптика (чертеж),ash_prime_neuroptics_blueprint
тряска,jolt
вектис прайм: приклад,vectis_prime_stock
оглушающая скорость,stunning_speed
непрерывность прайм,primed_continuity
бо прайм: рукоять,bo_prime_handle
ударное направление,crash_course
обход систем обеспечения,vital_systems_bypass
сингулярность,singularity
бронированная акробатика,armored_acrobatics
летальный момент,lethal_momentum
погибель прайм: заражённые,primed_bane_of_infested
погибель прайм: корпус,primed_bane_of_corpus
носитель прайм (чертеж),carrier_prime_blueprint
лисья ухмылка,vulpine_mask
погибель прайм: гринир,primed_bane_of_grineer
вектис прайм: ствол,vectis_prime_barrel
тактическая помпа,tactical_pump
мистический шлем: ментицид,arcane_menticide_helmet
мистический шлем: аврора,arcane_aurora_helmet
сома прайм (чертеж),soma_prime_blueprint
отпуск с привязи,unleashed
васто прайм: ствол,vasto_prime_barrel
мистический шлем: хорус,arcane_chorus_helmet
васто прайм (чертеж),vasto_prime_blueprint
полёт энтропии,entropy_flight
сарина прайм: комплект,saryn_prime_set
вертикальное выталкивание,poppin_vert
ремонт волхва,magus_repair
сбой волхва,magus_glitch
идеальный баланс,perfect_balance
штамм поглощения,strain_consume
мод разлома для зо (закрытый),zaw_riven_mod_(veiled)
кувалда волка (чертеж),wolf_sledge_blueprint
перегрузка волхва,magus_overload
молекулярное деление,molecular_fission
кувалда волка: мотор,wolf_sledge_motor
дикое безумие,wild_frenzy
гранаты с напалмом,napalm_grenades
типедо прайм: рукоять,tipedo_prime_handle
страдавар прайм: комплект,stradavar_prime_set
эквинокс прайм (чертеж),equinox_prime_blueprint
бронко прайм: ствол,bronco_prime_barrel
война: рукоятка,war_hilt
нова прайм: система (чертеж),nova_prime_systems_blueprint
фрост прайм (чертеж),frost_prime_blueprint
бронко прайм (чертеж),bronco_prime_blueprint
астральный сумрак,astral_twilight
быстрое прицеливание,snap_shot
бёрстон прайм: приёмник,burston_prime_receiver
клыки прайм: клинок,fang_prime_blade
вобан прайм: нейрооптика (чертеж),vauban_prime_neuroptics_blueprint
хико прайм: сюрикены,hikou_prime_stars
взломщик,intruder
ангстрем призма,prisma_angstrum
федра: приклад,phaedra_stock
напалм,scorch
шип энтропии,entropy_spike
одиннадцатый шторм,eleventh_storm
нова прайм: нейрооптика (чертеж),nova_prime_neuroptics_blueprint
залежь антивещества,antimatter_mine
нова прайм: каркас (чертеж),nova_prime_chassis_blueprint
призма-страж,prism_guard
хитрый магазин,trick_mag
нова прайм (чертеж),nova_prime_blueprint
узы приманки,deceptive_bond
фрост прайм: нейрооптика (чертеж),frost_prime_neuroptics_blueprint
мистический шлем: шквал,arcane_squall_helmet
просчитанное перенаправление,calculated_redirection
заряженные снаряды,charged_shell
зачистка: корпус,cleanse_corpus
жгучая сталь,searing_steel
ускоренное отражение,accelerated_deflection
грохочущий лес,clashing_forest
первобытный гнев,primal_rage
небесный топот,celestial_stomp
секура пента,secura_penta
выстрел лезвием,razor_shot
леденящее устрашение,creeping_terrify
тринити прайм (чертеж),trinity_prime_blueprint
мрачная ярость,grim_fury
скульптура аятан: орта,ayatan_orta_sculpture
энергетический канал,energy_channel
священное искупление,hallowed_reckoning
конвульсия,convulsion
мистическая ярость,arcane_fury
стремительная стойкость,rapid_resilience
чумной пистолет,pistol_pestilence
морф-трансформер прайм,primed_morphic_transformer
ломкий момент,frail_momentum
патогенные патроны,pathogen_rounds
мистическая эгида,arcane_aegis
внезапный удар,sudden_impact
мистическое последствие,arcane_consequence
закаленный клинок,tempered_blade
крушитель: корпус,smite_corpus
мистическая зарядка,arcane_energize
шквал клыков,fanged_fusillade
решимость гладиатора,gladiator_resolve
призрак,ghost
иней-патроны,rime_rounds
вулкар призрак,vulkar_wraith
скульптура аятан: пив,ayatan_piv_sculpture
инверсионная броня,negation_swarm
мушкетон,blunderbuss
сибарис прайм: ствол,sybaris_prime_barrel
кентавр: эгида,centaur_aegis
цефалон суда аугмент мод,cephalon_suda_augment_mod
банши прайм: каркас (чертеж),banshee_prime_chassis_blueprint
ледяное прикосновение,chilling_grasp
вуконг прайм: каркас (чертеж),wukong_prime_chassis_blueprint
пылающая сталь,blazing_steel
с огоньком,fired_up
сокрушающий шторм,shattering_storm
чутьё страха,sense_danger
танец пуль,bullet_dance
парные гадюки призрак (чертеж),twin_vipers_wraith_blueprint
раздельный патронник,split_chamber
северный ветер,north_wind
добытчик: дробовики,shotgun_scavenger
синоидальный гаммакор,synoid_gammacor
гелиос прайм: комплект,helios_prime_set
ракта баллистика,rakta_ballistica
гидроид прайм: нейрооптика (чертеж),hydroid_prime_neuroptics_blueprint
алчное притяжение,greedy_pull
сильва и эгида прайм: комплект,silva_and_aegis_prime_set
убежище,sanctuary
связывающие гранаты,tether_grenades
авиатор,aviator
пикирующий сокол,swooping_falcon
телосложение,constitution
инфузия кары,smite_infusion
ошейник кубрау: каваса прайм: комплект,kavasa_prime_kubrow_collar_set
латрон прайм: комплект,latron_prime_set
лекс прайм: комплект,lex_prime_set
одоната прайм: комплект,odonata_prime_set
оружейное скольжение,gun_glide
морозный кувырок,rime_vault
покорная жертва,vanquished_prey
гальваническое копье,voltaic_lance
искусный темп,deft_tempo
сдвоенное касание,double_tap
финальный акт,final_act
последний выстрел,final_tap
гидравлический патронник,hydraulic_chamber
гидравлический калибр,hydraulic_gauge
скользящий затвор,loose_hatch
узкий ствол,narrow_barrel
стран призрак: ствол,strun_wraith_barrel
эйдолонская линза: зенурик,eidolon_zenurik_lens
дестреза прайм: рукоять,destreza_prime_handle
увеличенная прочность,enhanced_durability
быстрое переключение оружия,holster_amp
мистический удар,arcane_strike
зловещий охват,sinister_reach
вектис прайм: комплект,vectis_prime_set
секущий богомол,carving_mantis
вожак стаи прайм,primed_pack_leader
мистическое обнуление,arcane_nullifier
рино прайм: комплект,rhino_prime_set
сикарус прайм: комплект,sicarus_prime_set
меченный,grinloked
мистическая победа,arcane_victory
быстрый шаг,hastened_steps
скрытая опасность,lie_in_wait
болтор прайм: приёмник,boltor_prime_receiver
болтор прайм: приклад,boltor_prime_stock
ночной охотник,night_stalker
синоидальный гелиокор,synoid_heliocor
элитрон: система,elytron_systems_blueprint
стальной меридиан аугмент мод,steel_meridian_augment_mod
теневой урожай,shadow_harvest
серебристая кара,argent_scourge
тигрис прайм: ствол,tigris_prime_barrel
съёмный магазин,eject_magazine
"план ""б""",plan_b
пылающая оса,burning_wasp
заостренные пули,sharpened_bullets
разрезающие патроны,ripper_rounds
сома прайм: приёмник,soma_prime_receiver
пожинающая спираль,reaping_spiral
сома прайм: приклад,soma_prime_stock
заостренное лезвие,sharpened_blade
скользящий обстрел,strafing_slide
скимитар: комплект,scimitar_set
отвод излишков,surplus_diverters
континуум катаклизмов,cataclysmic_continuum
брэйтон прайм: комплект,braton_prime_set
безжалостное нападение,relentless_assault
сильва и эгида прайм: рукоять,silva_and_aegis_prime_hilt
просчитанный прыжок,calculated_spring
патроны из кометы,comet_rounds
гидроид прайм: каркас (чертеж),hydroid_prime_chassis_blueprint
аклекс прайм (чертеж),aklex_prime_blueprint
аклекс прайм: комплект,aklex_prime_set
баллистика прайм (чертеж),ballistica_prime_blueprint
безмятежный раскол,tranquil_cleave
живучая связь,link_vitality
вожак стаи,pack_leader
выжившая душа,soul_survivor
молекулярная конверсия,molecular_conversion
колотун,thumper
спешка,rush
токсичный магазин,infected_clip
зачистка: заражённые,cleanse_infested
пламя,blaze
вакуум,vacuum
генератор энергии,energy_generator
багряный вихрь,scarlet_hurricane
порочное нападение,vicious_approach
холодная пасть,frost_jaw
шоковый ошейник,shock_collar
грязное приземление,thrash_landing
удар мотуса,motus_impact
преимущество аэро,aero_vantage
западня мотуса,motus_setup
штормовой удар,gale_kick
сигнал мотуса,motus_signal
сцена: палуба 12,deck_12_scene
нинконди прайм (чертеж),ninkondi_prime_blueprint
чжугэ прайм: ствол,zhuge_prime_barrel
нинконди прайм: рукоять,ninkondi_prime_handle
нинконди прайм: комплект,ninkondi_prime_set
вуконг прайм: комплект,wukong_prime_set
сциндо прайм: рукоять,scindo_prime_handle
ужасающая меткость,vile_precision
параллакс-линзы,parallax_scope
живучесть,vitality
добытчик: снайперские винтовки,sniper_scavenger
суника кубрау: отпечаток,sunika_kubrow_imprint
кават: адарза: отпечаток,adarza_kavat_imprint
рубико прайм: ствол,rubico_prime_barrel
громовержец,stormbringer
мистический взрыв,arcane_eruption
мистический шлем: веспа,arcane_vespa_helmet
бегство,escape_velocity
изгнание: заражённые,expel_infested
сцена: газовый город - облачность,gas_city_cloud_vista_scene
сжигающие патроны,combustion_rounds
мутатор: снайперская винтовка,sniper_ammo_mutation
локи прайм (чертеж),loki_prime_blueprint
сила охотника,seeking_force
дробитель,target_cracker
мимолетное мастерство,fleeting_expertise
критический замедлитель,critical_delay
спровоцированный,provoked
удар порчи,spoiled_strike
зажигательное покрытие,incendiary_coat
мистический шлем: спираль,arcane_coil_helmet
договор предвестника,augur_accord
запрещённый патронник,breach_loader
парные камы прайм (чертеж),dual_kamas_prime_blueprint
трагедия гайи,gaias_tragedy
латрон прайм: ствол,latron_prime_barrel
карак призрак: ствол,karak_wraith_barrel
линза: зенурик,zenurik_lens
проворное течение,agility_drift
укус,bite
последствия горения,afterburn
восходящая буря,rising_storm
эмбер прайм: комплект,ember_prime_set
перенаправление,redirection
клыки прайм: комплект,fang_prime_set
охлаждающая сфера,chilling_globe
мэг прайм: комплект,mag_prime_set
экзотермика,exothermic
некрос прайм: нейрооптика (чертеж),nekros_prime_neuroptics_blueprint
орлиный глаз,eagle_eye
перегрузка щита,shield_overload
электрическая дуга,arc_coil
сфера хаоса,chaos_sphere
истеричная стабилизация,hysterical_fixation
порочное искупление,defiled_reckoning
крушащий выстрел,crash_shot
оружейный ящик,ammo_case
юфона прайм: комплект,euphona_prime_set
клинок правды,blade_of_truth
фокусировка энергии,focus_energy
соколиный глаз,hawk_eye
вепрь прайм (чертеж),boar_prime_blueprint
оберон прайм: комплект,oberon_prime_set
кентавр: клинок,centaur_blade
зазубренное рассечение,sweeping_serration
агкуза: лезвие,agkuza_blade
перенаправляющая связь,link_redirection
тайберон прайм (чертеж),tiberon_prime_blueprint
парные секачи призма,prisma_dual_cleavers
направленное сближение,directed_convergence
сарина прайм (чертеж),saryn_prime_blueprint
тяжелая травма прайм,primed_heavy_trauma
мистическое пробуждение,arcane_awakening
маяк гамма,gamma_beacon
мистический ультиматум,arcane_ultimatum
дера вандал (чертеж),dera_vandal_blueprint
обекс призма,prisma_obex
бо прайм: комплект,bo_prime_set
вепрь прайм: комплект,boar_prime_set
баллистика прайм: приёмник,ballistica_prime_receiver
болтор прайм: комплект,boltor_prime_set
стран призрак: приклад,strun_wraith_stock
стран призрак: комплект,strun_wraith_set
когаке прайм: комплект,kogake_prime_set
когаке прайм: перчатка,kogake_prime_gauntlet
зефир прайм (чертеж),zephyr_prime_blueprint
лато вандал: комплект,lato_vandal_set
лато вандал (чертеж),lato_vandal_blueprint
лато вандал: ствол,lato_vandal_barrel
брэйтон вандал: комплект,braton_vandal_set
сцена: поселение гринир - артиллерийская установка,grineer_settlement_artillery_scene
сцена: крепость кувы - расщелина,kuva_fortress_crevice_scene
сцена: подводная лаборатория гринир - центрифуга,grineer_sealab_centrifuge_scene
сцена: луа - балкон,lua_balcony_scene
пробуждение,reawaken
валькирия прайм: нейрооптика (чертеж),valkyr_prime_neuroptics_blueprint
кентавр: рукоять,centaur_handle
сообщение предвестника,augur_message
истинное наказание,true_punishment
взрывная энтропия,entropy_detonation
раздирающий журавль,rending_crane
воздушная разведка,air_recon
венка прайм (чертеж),venka_prime_blueprint
юфона прайм (чертеж),euphona_prime_blueprint
онорикс: рукоять,onorix_handle
в упор,point_blank
отражение,reflection
жалящий шип,stinging_thorn
усилитель: дробовик,shotgun_amp
аномалия волхва,magus_anomaly
парные камы прайм: рукоять,dual_kamas_prime_handle
виртуозный всполох,virtuos_surge
отмеченная цель,marked_target
запитанные клинки,empowered_blades
каваса прайм: застежка,kavasa_prime_buckle
штамм сыпи,strain_eruption
единство,stand_united
каваса прайм: лента,kavasa_prime_band
сцена: трон кувы,kuva_throne_scene
сцена: святилище - вход,sanctuary_conduit_scene
ядовитые клыки,venom_teeth
восходящая сталь,rising_steel
пронзающая ярость,piercing_fury
амараст-звезда,star_amarast
венердовый привод,venerdo_hoverdrive
пылающий след,trail_blazer
сканирование материи,scan_matter
кинетическое трение,kinetic_friction
сканирование форм жизни,scan_lifeforms
время воздуха,air_time
рельсовые ограничители,rail_guards
атакующий режим,assault_mode
магнитные захваты,mag_locks
гасители инерции,inertia_dampeners
аквасто прайм: комплект,akvasto_prime_set
вечная агония,perpetual_agony
бронированная ловкость,armored_agility
счетчик тел,body_count
мистическое преломление,arcane_deflection
стенающие раны,weeping_wounds
акбронко прайм: связь,akbronco_prime_link
багровый шторм,vermillion_storm
калечащий удар,maiming_strike
исследователь,investigator
огнеход,firewalker
гидравлические перекрестия,hydraulic_crosshairs
токсичный полёт,toxic_flight
лазерный прицел,laser_sight
крушитель: заражённые,smite_infested
доза яда,venom_dose
разрывающий поворот,rending_turn
сейсмическая волна,seismic_wave
дакра прайм: рукоять,dakra_prime_handle
изгнание: гринир,expel_grineer
сома прайм: ствол,soma_prime_barrel
мэг прайм: нейрооптика (чертеж),mag_prime_neuroptics_blueprint
быстрые руки прайм,primed_fast_hands
фуракс призрак: комплект,furax_wraith_set
меткий стрелок,dead_eye
мод разлома для оружия ближнего боя (закрытый),melee_riven_mod_(veiled)
коррозийный выброс,corrosive_projection
мод разлома для пистолетов (закрытый),pistol_riven_mod_(veiled)
тяжелая травма,heavy_trauma
доблесть эксодии,exodia_valor
заряженный патронник,charged_chamber
прилив безнаказанности,tidal_impunity
пробивающий калибр,piercing_caliber
мистический шлем: бэкдрафт,arcane_backdraft_helmet
адгезивный взрыв,adhesive_blast
кинетическое столкновение,kinetic_collision
взрывомитра,thundermiter
финальный штрих,finishing_touch
неподвижное рвение,static_alacrity
эш прайм: каркас (чертеж),ash_prime_chassis_blueprint
тигрис прайм (чертеж),tigris_prime_blueprint
новые последствия,emergent_aftermath
стойкость,fortitude
эш прайм: система (чертеж),ash_prime_systems_blueprint
мэг прайм: система (чертеж),mag_prime_systems_blueprint
граката призма,prisma_grakata
мобилизация,mobilize
вектис прайм: приёмник,vectis_prime_receiver
автоматический спуск,automatic_trigger
бронированное восстановление,armored_recovery
вэйкор сидон,vaykor_sydon
скользящий магазин,slip_magazine
находящий клык,homing_fang
мистическая благодать,arcane_grace
кувалда,maul
улучшенная живучесть,enhanced_vitality
орнамент: бо прайм,bo_prime_ornament
дера вандал: приёмник,dera_vandal_receiver
анкирос прайм: комплект,ankyros_prime_set
злодейская акселерация,vile_acceleration
двойной ствол,barrel_diffusion
ураган,whirlwind
антитоксин,antitoxin
разрушитель,disruptor
увеличение калибра,heavy_caliber
пронзающий удар,piercing_hit
непрерывность,continuity
оскверненная обойма,tainted_clip
шоковый пехотинец,shock_trooper
поток,flow
критический распад,critical_deceleration
вирм прайм: панцирь,wyrm_prime_carapace
исцеляющее пламя,healing_flame
атлантический вулкан,atlantis_vulcan
тетра призма,prisma_tetra
акустический разрыв,sonic_fracture
парис прайм: комплект,paris_prime_set
тринити прайм: комплект,trinity_prime_set
карательное вооружение,vigilante_armaments
сибарис прайм (чертеж),sybaris_prime_blueprint
манящий фонарь,beguiling_lantern
баллистика прайм: комплект,ballistica_prime_set
виртуозная ярость,virtuos_fury
виртуозная пустота,virtuos_null
виртуозный ритм,virtuos_tempo
сила эксодии,exodia_force
виртуозный призрак,virtuos_ghost
хроматический клинок,chromatic_blade
изгнание: орокин,expel_corrupted
щит гладиатора,gladiator_aegis
нейтрализующая справедливость,neutralizing_justice
сияющий зодиан,radiant_zodian
кусачая пиранья,biting_piranha
вуконг прайм (чертеж),wukong_prime_blueprint
вуконг прайм: система (чертеж),wukong_prime_systems_blueprint
чжугэ прайм: тетива,zhuge_prime_string
позолоченная правда,gilded_truth
волоконная связь,link_fiber
уверенная стойка,sure_footed
лоза кровотечения,bleeding_willow
неумолимая воля,undying_will
железный феникс,iron_phoenix
острый ветер,pointed_wind
стабилизатор,stabilizer
добытчик: винтовки,rifle_scavenger
ускоряющий,quickening
ствол из рубедо,rubedo_lined_barrel
рассекающий удар,sundering_strike
отрицание,negate
специфичное вздутие,peculiar_growth
дестреза прайм: клинок,destreza_prime_blade
мех-усиление,mecha_empowered
мех-пульс,mecha_pulse
вулканические осадки,mafic_rain
сокрушающее бревно,crashing_timber
заразная гидра,tainted_hydra
секущий виток,lashing_coil
регенерация,regen
аклекс прайм: связь,aklex_prime_link
скоростной курок,speed_trigger
секреты предвестника,augur_secrets
сцена: гарнизон крессы,cressas_garrison_scene
сцена: трибунал арбитров,arbiters_tribunal_scene
сцена: лесная фабрика гринир,grineer_forest_industry_scene
банши прайм: система (чертеж),banshee_prime_systems_blueprint
мутатор: стрелы,arrow_mutation
гидроид прайм (чертеж),hydroid_prime_blueprint
спешное отражение,hastened_deflection
инъекция инфекции,infectious_injection
мудрое лезвие,wise_razor
эквинокс прайм: система (чертеж),equinox_prime_systems_blueprint
мод разлома для оружия арчвинга (закрытый),archgun_riven_mod_(veiled)
парис прайм (чертеж),paris_prime_blueprint
резонирующий взрыв,resonating_quake
молотильня,flailing_branch
