ko,slug
익스플로시브 레저더메인,explosive_legerdemain
스마이트 오로킨,smite_corrupted
아케인 헴락 헬멧,arcane_hemlock_helmet
뱀파이어 리치,vampire_leech
제갈 프라임 설계도,zhuge_prime_blueprint
닌콘디 프라임 체인,ninkondi_prime_chain
제갈 프라임 리시버,zhuge_prime_receiver
제갈 프라임 세트,zhuge_prime_set
오공 프라임 뉴로옵틱스 설계도,wukong_prime_neuroptics_blueprint
루이너스 익스텐션,ruinous_extension
새비져리,savagery
피스톨 갬빗,pistol_gambit
글리밍 블라이트,gleaming_blight
엠버 프라임 뉴로옵틱스 설계도,ember_prime_neuroptics_blueprint
링거링 토멘트,lingering_torment
해머 샷,hammer_shot
프라임드 샷건 애모 뮤테이션,primed_shotgun_ammo_mutation
아케인 벨로시티,arcane_velocity
닉스 프라임 설계도,nyx_prime_blueprint
데라 반달 스톡,dera_vandal_stock
카락 레이스 설계도,karak_wraith_blueprint
닉스 프라임 시스템 설계도,nyx_prime_systems_blueprint
스윙 라인,swing_line
듀얼 카마스 프라임 세트,dual_kamas_prime_set
메져드 버스트,measured_burst
세이프가드 스위치,safeguard_switch
프리즈마 셰이드,prisma_shade
가스 도시 로비 배경,gas_city_lobby_scene
오버익스텐디드,overextended
프로텍트,protect
토탈 이클립스,total_eclipse
아케인 펄스 헬멧,arcane_pulse_helmet
비질란티 퍼수트,vigilante_pursuit
퍼징 슬래쉬,purging_slash
아케인 매그 가우스 헬멧,arcane_mag_gauss_helmet
에인션트 퓨전 코어,ancient_fusion_core
퓨랙스 레이스 라이트 건틀렛,furax_wraith_right_gauntlet
어거 스트라이크,auger_strike
닉스 프라임 뉴로옵틱스 설계도,nyx_prime_neuroptics_blueprint
라이노 프라임 설계도,rhino_prime_blueprint
스테디 핸즈,steady_hands
티그리스 프라임 리시버,tigris_prime_receiver
에너지 컨버전,energy_conversion
아케인 레지스턴스,arcane_resistance
리썰 토렌트,lethal_torrent
워 블레이드,war_blade
디텍트 불너러빌러티,detect_vulnerability
엘리멘탈 샌드스톰,elemental_sandstorm
스틸 파이버,steel_fiber
매거진 익스텐션,magazine_extension
컨실드 익스플로시브,concealed_explosives
프라임드 래비지,primed_ravage
디플리티드 리로드,depleted_reload
헬리오스 프라임 카라페이스,helios_prime_carapace
웜 프라임 시스템,wyrm_prime_systems
트리니티 프라임 뉴로옵틱스 설계도,trinity_prime_neuroptics_blueprint
마인드 프리크,mind_freak
팽 프라임 핸들,fang_prime_handle
스트림라인,streamline
인설레이션,insulation
프레셔라이즈드 매거진,pressurized_magazine
앰부쉬 옵틱스,ambush_optics
닉스 프라임 섀시 설계도,nyx_prime_chassis_blueprint
커패시턴스,capacitance
쉘 컴프레션,shell_compression
로키 프라임 섀시 설계도,loki_prime_chassis_blueprint
보어,bore
시그널 플레어,signal_flare
라이트닝 대쉬,lightning_dash
매그 프라임 섀시 설계도,mag_prime_chassis_blueprint
스나이프트론 반달 세트,snipetron_vandal_set
배터링 메뉴버,battering_maneuver
피어싱 스텝,piercing_step
파이어볼 프렌지,fireball_frenzy
라스팅 퓨리티,lasting_purity
에너지 사이펀,energy_siphon
스토크,stalk
매거진 워프,magazine_warp
인필트레이트,infiltrate
코일링 바이퍼,coiling_viper
프라임드 프레셔 포인트,primed_pressure_point
콜드 스냅,cold_snap
헬스 체임버,hells_chamber
스톡파일드 블라이트,stockpiled_blight
나미 스카일라 프라임 핸들,nami_skyla_prime_handle
프랙쳐링 윈드,fracturing_wind
펄미네이션,fulmination
애모 드럼,ammo_drum
소버린 아웃캐스트,sovereign_outcast
글래디에이터 마이트,gladiator_might
헤비 임팩트,heavy_impact
썬더볼트,thunderbolt
풀 오브 라이프,pool_of_life
엔트로피 버스트,entropy_burst
페이탈 어트랙션,fatal_attraction
사이즈믹 팜,seismic_palm
프레셔 포인트,pressure_point
모디파이드 뮤니션즈,modified_munitions
내츄럴 탈런트,natural_talent
플레솃,flechette
쉬머링 블라이트,shimmering_blight
저스티스 블레이드,justice_blades
버즈 킬,buzz_kill
파이라나 프라임 설계도,pyrana_prime_blueprint
파이라나 프라임 리시버,pyrana_prime_receiver
파이라나 프라임 배럴,pyrana_prime_barrel
데스트레자 프라임 세트,destreza_prime_set
프라임드 익스펠 그리니어,primed_expel_grineer
프라임드 익스펠 코퍼스,primed_expel_corpus
프라임드 익스펠 인페스티드,primed_expel_infested
프라임드 익스펠 오로킨,primed_expel_corrupted
퀘이킹 핸드,quaking_hand
플레임 글랜드,flame_gland
디바이딩 블레이즈,dividing_blades
스무드 파스민,smooth_phasmin
아케인 펄스,arcane_pulse
서든 저스티스,sudden_justice
블러드 러쉬,blood_rush
쉬래프널 샷,shrapnel_shot
쿨런트 리크,coolant_leak
와드 리커버리,ward_recovery
프라임드 히티드 차지,primed_heated_charge
뉴트론 스타,neutron_star
스컬 샷,skull_shots
로키 프라임 뉴로옵틱스 설계도,loki_prime_neuroptics_blueprint
비질란티 퍼버,vigilante_fervor
앤카이로스 프라임 블레이드,ankyros_prime_blade
앤카이로스 프라임 건틀렛,ankyros_prime_gauntlet
보 프라임 설계도,bo_prime_blueprint
실바 & 이지스 프라임 가드,silva_and_aegis_prime_guard
비셔스 프로스트,vicious_frost
재기드 엣지,jagged_edge
실드 디스럽션,shield_disruption
마구스 비거,magus_vigor
샷건 배러지,shotgun_barrage
아케인 스윈들 헬멧,arcane_swindle_helmet
글래디에이터 바이스,gladiator_vice
아케인 메리디안 헬멧,arcane_meridian_helmet
레전더리 퓨전 코어,legendary_fusion_core
티그리스 프라임 스톡,tigris_prime_stock
스피닝 니들,spinning_needle
스나이프트론 반달 스톡,snipetron_vandal_stock
와일드파이어,wildfire
베인 오브 그리니어,bane_of_grineer
시미터 항공 전자 기기 설계도,scimitar_avionics_blueprint
리플렉스 가드,reflex_guard
에버라스팅 와드,everlasting_ward
애쉬 프라임 뉴로옵틱스 설계도,ash_prime_neuroptics_blueprint
졸트,jolt
벡티스 프라임 스톡,vectis_prime_stock
스터닝 스피드,stunning_speed
프라임드 컨티뉴어티,primed_continuity
보 프라임 핸들,bo_prime_handle
크래쉬 코스,crash_course
바이탈 시스템 바이패스,vital_systems_bypass
싱귤래리티,singularity
아머드 아크로바틱스,armored_acrobatics
리썰 모멘텀,lethal_momentum
프라임드 베인 오브 인페스티드,primed_bane_of_infested
프라임드 베인 오브 코퍼스,primed_bane_of_corpus
캐리어 프라임 설계도,carrier_prime_blueprint
불파인 마스크,vulpine_mask
프라임드 베인 오브 그리니어,primed_bane_of_grineer
벡티스 프라임 배럴,vectis_prime_barrel
택티컬 펌프,tactical_pump
아케인 멘터사이드 헬멧,arcane_menticide_helmet
아케인 오로라 헬멧,arcane_aurora_helmet
소마 프라임 설계도,soma_prime_blueprint
언리쉬드,unleashed
바스토 프라임 배럴,vasto_prime_barrel
아케인 코러스 헬멧,arcane_chorus_helmet
바스토 프라임 설계도,vasto_prime_blueprint
엔트로피 플라이트,entropy_flight
새린 프라임 세트,saryn_prime_set
팝핀 버트,poppin_vert
마구스 리페어,magus_repair
마구스 글리치,magus_glitch
퍼펙트 밸런스,perfect_balance
스트레인 컨슘,strain_consume
조우 리벤 모드 (미해금),zaw_riven_mod_(veiled)
울프 슬레지 설계도,wolf_sledge_blueprint
마구스 오버로드,magus_overload
몰레큘러 피션,molecular_fission
울프 슬레지 모터,wolf_sledge_motor
와일드 프렌지,wild_frenzy
네이팜 그레네이드,napalm_grenades
티페도 프라임 핸들,tipedo_prime_handle
스트라다바 프라임 세트,stradavar_prime_set
이쿼녹스 프라임 설계도,equinox_prime_blueprint
브롱코 프라임 배럴,bronco_prime_barrel
워 힐트,war_hilt
노바 프라임 시스템 설계도,nova_prime_systems_blueprint
프로스트 프라임 설계도,frost_prime_blueprint
브롱코 프라임 설계도,bronco_prime_blueprint
아스트랄 트와일라잇,astral_twilight
스냅 샷,snap_shot
버스튼 프라임 리시버,burston_prime_receiver
팽 프라임 블레이드,fang_prime_blade
바우반 프라임 뉴로옵틱스 설계도,vauban_prime_neuroptics_blueprint
히코우 프라임 스타즈,hikou_prime_stars
인트루더,intruder
프리즈마 앙스트럼,prisma_angstrum
파이드라 스톡,phaedra_stock
스코치,scorch
엔트로피 스파이크,entropy_spike
일레븐스 스톰,eleventh_storm
노바 프라임 뉴로옵틱스 설계도,nova_prime_neuroptics_blueprint
안티매터 마인,antimatter_mine
노바 프라임 섀시 설계도,nova_prime_chassis_blueprint
프리즘 가드,prism_guard
트릭 매거진,trick_mag
노바 프라임 설계도,nova_prime_blueprint
디셉티브 본드,deceptive_bond
프로스트 프라임 뉴로옵틱스 설계도,frost_prime_neuroptics_blueprint
아케인 스퀄 헬멧,arcane_squall_helmet
칼큘레이티드 리다이렉션,calculated_redirection
차지드 쉘,charged_shell
클렌즈 코퍼스,cleanse_corpus
시어링 스틸,searing_steel
액셀러레이티드 디플렉션,accelerated_deflection
클래싱 포레스트,clashing_forest
프라이멀 레이지,primal_rage
셀레스티얼 스톰프,celestial_stomp
세큐라 펜타,secura_penta
레이저 샷,razor_shot
크리핑 테리파이,creeping_terrify
트리니티 프라임 설계도,trinity_prime_blueprint
그림 퓨리,grim_fury
아야탄 오르타 조각상,ayatan_orta_sculpture
에너지 채널,energy_channel
할로우드 레코닝,hallowed_reckoning
컨벌션,convulsion
아케인 퓨리,arcane_fury
래피드 리질리언스,rapid_resilience
피스톨 페스틸런스,pistol_pestilence
프라임드 모르픽 트랜스포머,primed_morphic_transformer
프레일 모멘텀,frail_momentum
패서전 라운즈,pathogen_rounds
아케인 이지스,arcane_aegis
서든 임팩트,sudden_impact
아케인 콘시퀀스,arcane_consequence
템퍼드 블레이드,tempered_blade
스마이트 코퍼스,smite_corpus
아케인 에너자이즈,arcane_energize
팽드 퓨설레이드,fanged_fusillade
글래디에이터 리졸브,gladiator_resolve
고스트,ghost
라임 라운즈,rime_rounds
불카 레이스,vulkar_wraith
아야탄 피브 조각상,ayatan_piv_sculpture
니게이션 아머,negation_swarm
블런더버스,blunderbuss
시바리스 프라임 배럴,sybaris_prime_barrel
센타우르 이지스,centaur_aegis
세팔론 수다 개조 모드,cephalon_suda_augment_mod
밴쉬 프라임 섀시 설계도,banshee_prime_chassis_blueprint
칠링 그래스프,chilling_grasp
오공 프라임 섀시 설계도,wukong_prime_chassis_blueprint
블레이징 스틸,blazing_steel
파이어드 업,fired_up
섀터링 스톰,shattering_storm
피어 센스,sense_danger
불릿 댄스,bullet_dance
트윈 바이퍼즈 레이스 설계도,twin_vipers_wraith_blueprint
스플릿 체임버,split_chamber
노스 윈드,north_wind
샷건 스캐빈저,shotgun_scavenger
사이노이드 감마코어,synoid_gammacor
헬리오스 프라임 세트,helios_prime_set
락타 발리스티카,rakta_ballistica
하이드로이드 프라임 뉴로옵틱스 설계도,hydroid_prime_neuroptics_blueprint
그리디 풀,greedy_pull
실바 & 이지스 프라임 세트,silva_and_aegis_prime_set
생츄어리,sanctuary
테더 그레네이드,tether_grenades
에비에이터,aviator
스우핑 팔콘,swooping_falcon
컨스티튜션,constitution
스마이트 인퓨전,smite_infusion
카바사 프라임 쿠브로 칼라 세트,kavasa_prime_kubrow_collar_set
래트론 프라임 세트,latron_prime_set
렉스 프라임 세트,lex_prime_set
오도나타 프라임 세트,odonata_prime_set
건 글라이드,gun_glide
라임 볼트,rime_vault
뱅키쉬드 프레이,vanquished_prey
볼택 랜스,voltaic_lance
데프트 템포,deft_tempo
더블 탭,double_tap
파이널 액트,final_act
파이널 탭,final_tap
하이드롤릭 체임버,hydraulic_chamber
하이드롤릭 게이지,hydraulic_gauge
루즈 해치,loose_hatch
내로우 배럴,narrow_barrel
스트런 레이스 배럴,strun_wraith_barrel
아이돌론 제누릭 렌즈,eidolon_zenurik_lens
데스트레자 프라임 핸들,destreza_prime_handle
인핸스드 듀라빌리티,enhanced_durability
홀스터 앰프,holster_amp
아케인 스트라이크,arcane_strike
시니스터 리치,sinister_reach
벡티스 프라임 세트,vectis_prime_set
카빙 맨티스,carving_mantis
프라임드 팩 리더,primed_pack_leader
아케인 널리파이어,arcane_nullifier
라이노 프라임 세트,rhino_prime_set
시카루스 프라임 세트,sicarus_prime_set
그린락드,grinloked
아케인 빅토리,arcane_victory
헤이스튼드 스텝스,hastened_steps
라이 인 웨잇,lie_in_wait
볼터 프라임 리시버,boltor_prime_receiver
볼터 프라임 스톡,boltor_prime_stock
나이트 스토커,night_stalker
사이노이드 헬리오코어,synoid_heliocor
엘리트론 시스템,elytron_systems_blueprint
스틸 메리디안 개조 모드,steel_meridian_augment_mod
섀도우 하베스트,shadow_harvest
어전트 스커지,argent_scourge
티그리스 프라임 배럴,tigris_prime_barrel
이젝트 매거진,eject_magazine
플랜 b,plan_b
버닝 와스프,burning_wasp
샤픈드 불릿,sharpened_bullets
리퍼 라운즈,ripper_rounds
소마 프라임 리시버,soma_prime_receiver
리핑 스파이럴,reaping_spiral
소마 프라임 스톡,soma_prime_stock
샤픈드 블레이드,sharpened_blade
스트레이핑 슬라이드,strafing_slide
시미터 세트,scimitar_set
서플러스 다이버터,surplus_diverters
카타클리즈믹 컨티뉴엄,cataclysmic_continuum
브래튼 프라임 세트,braton_prime_set
릴렌트리스 어썰트,relentless_assault
실바 & 이지스 프라임 힐트,silva_and_aegis_prime_hilt
칼큘레이티드 스프링,calculated_spring
코멧 라운즈,comet_rounds
하이드로이드 프라임 섀시 설계도,hydroid_prime_chassis_blueprint
아클렉스 프라임 설계도,aklex_prime_blueprint
아클렉스 프라임 세트,aklex_prime_set
발리스티카 프라임 설계도,ballistica_prime_blueprint
트랭퀼 클리브,tranquil_cleave
링크 바이탈리티,link_vitality
팩 리더,pack_leader
소울 서바이버,soul_survivor
몰레큘러 컨버전,molecular_conversion
썸퍼,thumper
러쉬,rush
인펙티드 클립,infected_clip
클렌즈 인페스티드,cleanse_infested
블레이즈,blaze
버큠,vacuum
에너지 제너레이터,energy_generator
스칼렛 허리케인,scarlet_hurricane
비셔스 어프로치,vicious_approach
프로스트 조우,frost_jaw
쇼크 칼라,shock_collar
쓰래쉬 랜딩,thrash_landing
모터스 임팩트,motus_impact
에어로 밴티지,aero_vantage
모터스 셋업,motus_setup
게일 킥,gale_kick
모터스 시그널,motus_signal
덱 12 배경,deck_12_scene
닌콘디 프라임 설계도,ninkondi_prime_blueprint
제갈 프라임 배럴,zhuge_prime_barrel
닌콘디 프라임 핸들,ninkondi_prime_handle
닌콘디 프라임 세트,ninkondi_prime_set
오공 프라임 세트,wukong_prime_set
신도 프라임 핸들,scindo_prime_handle
바일 프리시젼,vile_precision
패럴락스 스코프,parallax_scope
바이탈리티,vitality
스나이퍼 스캐빈저,sniper_scavenger
수니카 쿠브로 임프린트,sunika_kubrow_imprint
아다르자 카밧 임프린트,adarza_kavat_imprint
루비코 프라임 배럴,rubico_prime_barrel
스톰브링어,stormbringer
아케인 이럽션,arcane_eruption
아케인 베스퍼 헬멧,arcane_vespa_helmet
이스케이프 벨로시티,escape_velocity
익스펠 인페스티드,expel_infested
가스 도시 구름 경관 배경,gas_city_cloud_vista_scene
컴버스쳔 라운즈,combustion_rounds
스나이퍼 애모 뮤테이션,sniper_ammo_mutation
로키 프라임 설계도,loki_prime_blueprint
시킹 포스,seeking_force
타겟 크랙커,target_cracker
플리팅 엑스퍼티즈,fleeting_expertise
크리티컬 딜레이,critical_delay
프로보크드,provoked
스포일드 스트라이크,spoiled_strike
인센디어리 코트,incendiary_coat
아케인 코일 헬멧,arcane_coil_helmet
어거 어코드,augur_accord
브리치 로더,breach_loader
듀얼 카마스 프라임 설계도,dual_kamas_prime_blueprint
가이아스 트라제디,gaias_tragedy
래트론 프라임 배럴,latron_prime_barrel
카락 레이스 배럴,karak_wraith_barrel
제누릭 렌즈,zenurik_lens
어질리티 드리프트,agility_drift
바이트,bite
애프터번,afterburn
라이징 스톰,rising_storm
엠버 프라임 세트,ember_prime_set
리다이렉션,redirection
팽 프라임 세트,fang_prime_set
칠링 글로브,chilling_globe
매그 프라임 세트,mag_prime_set
엑소써믹,exothermic
네크로스 프라임 뉴로옵틱스 설계도,nekros_prime_neuroptics_blueprint
이글 아이,eagle_eye
실드 오버로드,shield_overload
아크 코일,arc_coil
카오스 스피어,chaos_sphere
히스테리컬 픽세이션,hysterical_fixation
디파일드 레코닝,defiled_reckoning
크래쉬 샷,crash_shot
애모 케이스,ammo_case
유포나 프라임 세트,euphona_prime_set
블레이드 오브 트루스,blade_of_truth
포커스 에너지,focus_energy
호크 아이,hawk_eye
보어 프라임 설계도,boar_prime_blueprint
오베론 프라임 세트,oberon_prime_set
센타우르 블레이드,centaur_blade
스위핑 서레이션,sweeping_serration
악쿠자 블레이드,agkuza_blade
링크 리다이렉션,link_redirection
티버론 프라임 설계도,tiberon_prime_blueprint
프리즈마 듀얼 클리버즈,prisma_dual_cleavers
다이렉티드 컨버전스,directed_convergence
새린 프라임 설계도,saryn_prime_blueprint
프라임드 헤비 트라우마,primed_heavy_trauma
아케인 어웨이크닝,arcane_awakening
감마 비컨,gamma_beacon
아케인 얼티메이텀,arcane_ultimatum
데라 반달 설계도,dera_vandal_blueprint
프리즈마 오벡스,prisma_obex
보 프라임 세트,bo_prime_set
보어 프라임 세트,boar_prime_set
발리스티카 프라임 리시버,ballistica_prime_receiver
볼터 프라임 세트,boltor_prime_set
스트런 레이스 스톡,strun_wraith_stock
스트런 레이스 세트,strun_wraith_set
코가케 프라임 세트,kogake_prime_set
코가케 프라임 건틀렛,kogake_prime_gauntlet
제피르 프라임 설계도,zephyr_prime_blueprint
라토 반달 세트,lato_vandal_set
라토 반달 설계도,lato_vandal_blueprint
라토 반달 배럴,lato_vandal_barrel
브래튼 반달 세트,braton_vandal_set
그리니어 주둔지 포대 배경,grineer_settlement_artillery_scene
쿠바 요새 틈새 배경,kuva_fortress_crevice_scene
그리니어 수중 연구소 원심 분리기 배경,grineer_sealab_centrifuge_scene
루아 발코니 배경,lua_balcony_scene
리어웨이큰,reawaken
발키르 프라임 뉴로옵틱스 설계도,valkyr_prime_neuroptics_blueprint
센타우르 핸들,centaur_handle
어거 메시지,augur_message
트루 퍼니시먼트,true_punishment
엔트로피 데토네이션,entropy_detonation
렌딩 크레인,rending_crane
에어 리콘,air_recon
벤카 프라임 설계도,venka_prime_blueprint
유포나 프라임 설계도,euphona_prime_blueprint
오노릭스 핸들,onorix_handle
포인트 블랭크,point_blank
리플렉션,reflection
스팅잉 쏜,stinging_thorn
샷건 앰프,shotgun_amp
마구스 어노말리,magus_anomaly
듀얼 카마스 프라임 핸들,dual_kamas_prime_handle
버츄오스 서지,virtuos_surge
마크드 타겟,marked_target
임파워드 블레이드,empowered_blades
카바사 프라임 칼라 버클,kavasa_prime_buckle
스트레인 이럽션,strain_eruption
스탠드 유나이티드,stand_united
카바사 프라임 칼라 밴드,kavasa_prime_band
쿠바 왕좌 배경,kuva_throne_scene
생츄어리 도관 배경,sanctuary_conduit_scene
베놈 티스,venom_teeth
라이징 스틸,rising_steel
피어싱 퓨리,piercing_fury
스타 아마라스트,star_amarast
베네르도 호버드라이브,venerdo_hoverdrive
트레일 블레이저,trail_blazer
스캔 매터,scan_matter
키네틱 프릭션,kinetic_friction
스캔 라이프폼,scan_lifeforms
에어 타임,air_time
레일 가드,rail_guards
어썰트 모드,assault_mode
매그 락,mag_locks
이너샤 댐프너,inertia_dampeners
아크바스토 프라임 세트,akvasto_prime_set
펄페츄얼 아고니,perpetual_agony
아머드 어질리티,armored_agility
바디 카운트,body_count
아케인 디플렉션,arcane_deflection
위핑 운즈,weeping_wounds
아크브롱코 프라임 링크,akbronco_prime_link
버밀리온 스톰,vermillion_storm
메이밍 스트라이크,maiming_strike
인베스티게이터,investigator
파이어 워커,firewalker
하이드롤릭 크로스헤어즈,hydraulic_crosshairs
톡식 플라이트,toxic_flight
레이저 사이트,laser_sight
스마이트 인페스티드,smite_infested
베놈 도즈,venom_dose
렌딩 턴,rending_turn
사이즈믹 웨이브,seismic_wave
다크라 프라임 핸들,dakra_prime_handle
익스펠 그리니어,expel_grineer
소마 프라임 배럴,soma_prime_barrel
매그 프라임 뉴로옵틱스 설계도,mag_prime_neuroptics_blueprint
프라임드 패스트 핸즈,primed_fast_hands
퓨랙스 레이스 세트,furax_wraith_set
데드 아이,dead_eye
근접 무기 리벤 모드 (미해금),melee_riven_mod_(veiled)
코로시브 프로젝션,corrosive_projection
보조 무기 리벤 모드 (미해금),pistol_riven_mod_(veiled)
헤비 트라우마,heavy_trauma
엑소디아 발러,exodia_valor
차지드 체임버,charged_chamber
타이달 임퓨너티,tidal_impunity
피어싱 칼리버,piercing_caliber
아케인 백드래프트 헬멧,arcane_backdraft_helmet
애드히시브 블래스트,adhesive_blast
키네틱 콜리젼,kinetic_collision
썬더마이터,thundermiter
피니싱 터치,finishing_touch
스태틱 알라크리티,static_alacrity
애쉬 프라임 섀시 설계도,ash_prime_chassis_blueprint
티그리스 프라임 설계도,tigris_prime_blueprint
이머전트 애프터매스,emergent_aftermath
포티튜드,fortitude
애쉬 프라임 시스템 설계도,ash_prime_systems_blueprint
매그 프라임 시스템 설계도,mag_prime_systems_blueprint
프리즈마 그라카타,prisma_grakata
모빌라이즈,mobilize
벡티스 프라임 리시버,vectis_prime_receiver
오토매틱 트리거,automatic_trigger
아머드 리커버리,armored_recovery
베이코어 사이돈,vaykor_sydon
슬립 매거진,slip_magazine
호밍 팽,homing_fang
아케인 그레이스,arcane_grace
머울,maul
인핸스드 바이탈리티,enhanced_vitality
보 프라임 오너먼트,bo_prime_ornament
데라 반달 리시버,dera_vandal_receiver
앤카이로스 프라임 세트,ankyros_prime_set
바일 액셀러레이션,vile_acceleration
배럴 디퓨젼,barrel_diffusion
훨윈드,whirlwind
안티톡신,antitoxin
디스럽터,disruptor
헤비 칼리버,heavy_caliber
피어싱 히트,piercing_hit
컨티뉴어티,continuity
테인티드 클립,tainted_clip
쇼크 트루퍼,shock_trooper
플로우,flow
크리티컬 디셀러레이션,critical_deceleration
웜 프라임 카라페이스,wyrm_prime_carapace
힐링 플레임,healing_flame
아틀란티스 불칸,atlantis_vulcan
프리즈마 테트라,prisma_tetra
소닉 프랙처,sonic_fracture
패리스 프라임 세트,paris_prime_set
트리니티 프라임 세트,trinity_prime_set
비질란티 아마먼츠,vigilante_armaments
