de,slug
ash prime: chassis blaupause,ash_prime_chassis_blueprint
tigris prime blaupause,tigris_prime_blueprint
entstehendes nachspiel,emergent_aftermath
zähigkeit,fortitude
ash prime: systeme blaupause,ash_prime_systems_blueprint
mag prime: systeme blaupause,mag_prime_systems_blueprint
prisma grakata,prisma_grakata
mobilisieren,mobilize
vectis prime: gehäuse,vectis_prime_receiver
automatischer auslöser,automatic_trigger
gepanzerte erholung,armored_recovery
vaykor sydon,vaykor_sydon
streifenmagazin,slip_magazine
gezielter reißzahn,homing_fang
arkana: anmut,arcane_grace
zerfleischen,maul
verbesserte vitalität,enhanced_vitality
bo prime: ornament,bo_prime_ornament
dera vandal: gehäuse,dera_vandal_receiver
ankyros prime: set,ankyros_prime_set
widerwärtige beschleunigung,vile_acceleration
laufstreuung,barrel_diffusion
wirbelwind,whirlwind
gegengift,antitoxin
disruptor,disruptor
schweres kaliber,heavy_caliber
panzerbrechender treffer,piercing_hit
kontinuität,continuity
verdorbene munition,tainted_clip
schocktruppe,shock_trooper
fluss,flow
kritische abbremsung,critical_deceleration
wyrm prime: panzer,wyrm_prime_carapace
heilende flamme,healing_flame
atlantis vulkan,atlantis_vulcan
prisma tetra,prisma_tetra
schallbruch,sonic_fracture
paris prime: set,paris_prime_set
trinity prime: set,trinity_prime_set
vigilanten: aufrüstung,vigilante_armaments
sybaris prime blaupause,sybaris_prime_blueprint
betörende laterne,beguiling_lantern
ballistica prime: set,ballistica_prime_set
virtuos: wut,virtuos_fury
virtuos: leere,virtuos_null
virtuos: tempo,virtuos_tempo
exodia: kraft,exodia_force
virtuos: geist,virtuos_ghost
chromatische klinge,chromatic_blade
verbannung der orokin,expel_corrupted
gladiator: ägis,gladiator_aegis
neutralisierende gerechtigkeit,neutralizing_justice
strahlender zodian,radiant_zodian
beißender piranha,biting_piranha
wukong prime blaupause,wukong_prime_blueprint
wukong prime: systeme blaupause,wukong_prime_systems_blueprint
zhuge prime: sehne,zhuge_prime_string
vergoldete wahrheit,gilded_truth
verbinde faser,link_fiber
trittsicher,sure_footed
blutende weide,bleeding_willow
ungebrochener wille,undying_will
eiserner phönix,iron_phoenix
schnittiger wind,pointed_wind
stabilisator,stabilizer
gewehrplünderer,rifle_scavenger
beschleunigung,quickening
rubedo-beschichteter lauf,rubedo_lined_barrel
zerschmetternder schlag,sundering_strike
negieren,negate
kuriose mod: wachstum,peculiar_growth
destreza prime: klinge,destreza_prime_blade
mecha: verstärkung,mecha_empowered
mecha: puls,mecha_pulse
magischer regen,mafic_rain
stürzender balken,crashing_timber
vergiftete hydra,tainted_hydra
geißelndes winden,lashing_coil
erneuerung,regen
aklex prime: verbindung,aklex_prime_link
schnellauslöser,speed_trigger
augur: geheimnisse,augur_secrets
photora-szene: cressas garnison,cressas_garrison_scene
photora-szene: arbiters tribunal,arbiters_tribunal_scene
photora-szene: grineer wald industrie,grineer_forest_industry_scene
banshee prime: systeme blaupause,banshee_prime_systems_blueprint
munition-wandler: bogen,arrow_mutation
hydroid prime blaupause,hydroid_prime_blueprint
hastige ablenkung,hastened_deflection
infektiöse injektion,infectious_injection
weise klinge,wise_razor
equinox prime: systeme blaupause,equinox_prime_systems_blueprint
arch-gewehr riven-mod (veiled),archgun_riven_mod_(veiled)
paris prime blaupause,paris_prime_blueprint
nachhallendes beben,resonating_quake
dreschender zweig,flailing_branch
erfrierung,frostbite
photora-szene: gas city zentrales lager,gas_city_central_drop_scene
lua unairu-linse,lua_unairu_lens
schäfer,shepherd
photora-szene: orokin turm extraktionszene,orokin_tower_extraction_scene
tödliche effizienz,deadly_efficiency
virtuos: glut,virtuos_forge
akvasto prime blaupause,akvasto_prime_blueprint
akvasto prime: verbindung,akvasto_prime_link
verseuchende hülse,contamination_casing
photora-szene: onkkos kommandoposten,onkkos_command_post_scene
flux-überladung,flux_overdrive
