pt,slug
gammacor synoid,synoid_gammacor
helios prime: conjunto,helios_prime_set
ballistica rakta,rakta_ballistica
hydroid prime: neurovisor (diagrama),hydroid_prime_neuroptics_blueprint
atração gananciosa,greedy_pull
silva & aegis prime: conjunto,silva_and_aegis_prime_set
sanctuary,sanctuary
tether grenades,tether_grenades
aviator,aviator
swooping falcon,swooping_falcon
constitution,constitution
infusão castigante,smite_infusion
kavasa prime: coleira kubrow: conjunto,kavasa_prime_kubrow_collar_set
latron prime: conjunto,latron_prime_set
lex prime: conjunto,lex_prime_set
odonata prime: conjunto,odonata_prime_set
gun glide,gun_glide
rime vault,rime_vault
vanquished prey,vanquished_prey
voltaic lance,voltaic_lance
deft tempo,deft_tempo
double tap,double_tap
final act,final_act
final tap,final_tap
hydraulic chamber,hydraulic_chamber
hydraulic gauge,hydraulic_gauge
loose hatch,loose_hatch
narrow barrel,narrow_barrel
strun quimérica: cano,strun_wraith_barrel
lente zenurik (eidolon),eidolon_zenurik_lens
destreza prime: cabo,destreza_prime_handle
enhanced durability,enhanced_durability
holster amp,holster_amp
ataque arcano,arcane_strike
sinister reach,sinister_reach
vectis prime: conjunto,vectis_prime_set
carving mantis,carving_mantis
primed pack leader,primed_pack_leader
anulação arcana,arcane_nullifier
rhino prime: conjunto,rhino_prime_set
sicarus prime: conjunto,sicarus_prime_set
grinloked,grinloked
vitória arcana,arcane_victory
hastened steps,hastened_steps
lie in wait,lie_in_wait
boltor prime: receptor,boltor_prime_receiver
boltor prime: coronha,boltor_prime_stock
night stalker,night_stalker
heliocor synoid,synoid_heliocor
elytron: sistemas,elytron_systems_blueprint
steel meridian augment mod,steel_meridian_augment_mod
shadow harvest,shadow_harvest
argent scourge,argent_scourge
tigris prime: cano,tigris_prime_barrel
eject magazine,eject_magazine
plan b,plan_b
burning wasp,burning_wasp
sharpened bullets,sharpened_bullets
ripper rounds,ripper_rounds
soma prime: receptor,soma_prime_receiver
reaping spiral,reaping_spiral
soma prime: coronha,soma_prime_stock
sharpened blade,sharpened_blade
strafing slide,strafing_slide
scimitar: conjunto,scimitar_set
surplus diverters,surplus_diverters
cataclismo perpétuo,cataclysmic_continuum
braton prime: conjunto,braton_prime_set
relentless assault,relentless_assault
silva & aegis prime: punho,silva_and_aegis_prime_hilt
calculated spring,calculated_spring
comet rounds,comet_rounds
hydroid prime: chassi (diagrama),hydroid_prime_chassis_blueprint
aklex prime (diagrama),aklex_prime_blueprint
aklex prime: conjunto,aklex_prime_set
ballistica prime (diagrama),ballistica_prime_blueprint
tranquil cleave,tranquil_cleave
link vitality,link_vitality
pack leader,pack_leader
abdução ressuscitadora,soul_survivor
molecular conversion,molecular_conversion
thumper,thumper
rush,rush
infected clip,infected_clip
cleanse infested,cleanse_infested
blaze,blaze
vacuum,vacuum
energy generator,energy_generator
scarlet hurricane,scarlet_hurricane
vicious approach,vicious_approach
frost jaw,frost_jaw
shock collar,shock_collar
thrash landing,thrash_landing
motus impact,motus_impact
aero vantage,aero_vantage
motus setup,motus_setup
gale kick,gale_kick
motus signal,motus_signal
cena: convés 12,deck_12_scene
ninkondi prime (diagrama),ninkondi_prime_blueprint
zhuge prime: cano,zhuge_prime_barrel
ninkondi prime: cabo,ninkondi_prime_handle
ninkondi prime: conjunto,ninkondi_prime_set
wukong prime: conjunto,wukong_prime_set
scindo prime: cabo,scindo_prime_handle
vile precision,vile_precision
parallax scope,parallax_scope
vitality,vitality
sniper scavenger,sniper_scavenger
kubrow sunika (código genético),sunika_kubrow_imprint
kavat adarza (código genético),adarza_kavat_imprint
rubico prime: cano,rubico_prime_barrel
stormbringer,stormbringer
erupção arcana,arcane_eruption
nyx: capacete vespa (arcano),arcane_vespa_helmet
velocidade de escape,escape_velocity
expel infested,expel_infested
cena: vista das nuvens da cidade de gás,gas_city_cloud_vista_scene
combustion rounds,combustion_rounds
sniper ammo mutation,sniper_ammo_mutation
loki prime (diagrama),loki_prime_blueprint
seeking force,seeking_force
target cracker,target_cracker
fleeting expertise,fleeting_expertise
critical delay,critical_delay
provoked,provoked
spoiled strike,spoiled_strike
incendiary coat,incendiary_coat
mag: capacete coil (arcano),arcane_coil_helmet
augur accord,augur_accord
breach loader,breach_loader
kamas duplas prime (diagrama),dual_kamas_prime_blueprint
gaia's tragedy,gaias_tragedy
latron prime: cano,latron_prime_barrel
karak quimérica: cano,karak_wraith_barrel
lente zenurik (comum),zenurik_lens
agility drift,agility_drift
bite,bite
pós-combustão,afterburn
tempestade crescente,rising_storm
ember prime: conjunto,ember_prime_set
redirection,redirection
fang prime: conjunto,fang_prime_set
globo congelante,chilling_globe
mag prime: conjunto,mag_prime_set
reação exotérmica,exothermic
nekros prime: neurovisor (diagrama),nekros_prime_neuroptics_blueprint
eagle eye,eagle_eye
sobrecarga de escudos,shield_overload
arc coil,arc_coil
esfera caótica,chaos_sphere
fixação histérica,hysterical_fixation
julgamento profano,defiled_reckoning
crash shot,crash_shot
ammo case,ammo_case
euphona prime: conjunto,euphona_prime_set
blade of truth,blade_of_truth
focus energy,focus_energy
hawk eye,hawk_eye
boar prime (diagrama),boar_prime_blueprint
oberon prime: conjunto,oberon_prime_set
centaur: lâmina,centaur_blade
sweeping serration,sweeping_serration
agkuza: lâmina,agkuza_blade
link redirection,link_redirection
tiberon prime (diagrama),tiberon_prime_blueprint
cutelos duplos prisma,prisma_dual_cleavers
directed convergence,directed_convergence
saryn prime (diagrama),saryn_prime_blueprint
primed heavy trauma,primed_heavy_trauma
despertar arcano,arcane_awakening
transmissor gamma,gamma_beacon
ultimato arcano,arcane_ultimatum
dera vandalizada (diagrama),dera_vandal_blueprint
obex prisma,prisma_obex
bo prime: conjunto,bo_prime_set
boar prime: conjunto,boar_prime_set
ballistica prime: receptor,ballistica_prime_receiver
boltor prime: conjunto,boltor_prime_set
strun quimérica: coronha,strun_wraith_stock
strun quimérica: conjunto,strun_wraith_set
kogake prime: conjunto,kogake_prime_set
kogake prime: manopla,kogake_prime_gauntlet
zephyr prime (diagrama),zephyr_prime_blueprint
lato vandalizada: conjunto,lato_vandal_set
lato vandalizada (diagrama),lato_vandal_blueprint
lato vandalizada: cano,lato_vandal_barrel
braton vandalizada: conjunto,braton_vandal_set
cena: artilharia do acampamento grineer,grineer_settlement_artillery_scene
cena: fenda na fortaleza kuva,kuva_fortress_crevice_scene
cena: centrifuga do laboratório submarino grineer,grineer_sealab_centrifuge_scene
cena: varanda lunar,lua_balcony_scene
reawaken,reawaken
valkyr prime: neurovisor (diagrama),valkyr_prime_neuroptics_blueprint
centaur: cabo,centaur_handle
augur message,augur_message
true punishment,true_punishment
entropy detonation,entropy_detonation
rending crane,rending_crane
air recon,air_recon
venka prime (diagrama),venka_prime_blueprint
euphona prime (diagrama),euphona_prime_blueprint
onorix: cabo,onorix_handle
point blank,point_blank
reflection,reflection
stinging thorn,stinging_thorn
shotgun amp,shotgun_amp
anomalia do mago,magus_anomaly
kamas duplas prime: cabo,dual_kamas_prime_handle
surto virtuoso,virtuos_surge
marked target,marked_target
empowered blades,empowered_blades
kavasa prime: fivela,kavasa_prime_buckle
strain eruption,strain_eruption
stand united,stand_united
kavasa prime: faixa,kavasa_prime_band
cena: trono da kuva,kuva_throne_scene
cena: conduíte do santuário,sanctuary_conduit_scene
venom teeth,venom_teeth
rising steel,rising_steel
piercing fury,piercing_fury
amarasta estrelada,star_amarast
venerdo hoverdrive,venerdo_hoverdrive
trail blazer,trail_blazer
scan matter,scan_matter
kinetic friction,kinetic_friction
scan aquatic lifeforms,scan_lifeforms
air time,air_time
rail guards,rail_guards
assault mode,assault_mode
mag locks,mag_locks
inertia dampeners,inertia_dampeners
akvasto prime: conjunto,akvasto_prime_set
perpetual agony,perpetual_agony
armored agility,armored_agility
body count,body_count
deflexão arcana,arcane_deflection
weeping wounds,weeping_wounds
akbronco prime: conexão,akbronco_prime_link
vermillion storm,vermillion_storm
maiming strike,maiming_strike
investigator,investigator
firewalker,firewalker
hydraulic crosshairs,hydraulic_crosshairs
toxic flight,toxic_flight
laser sight,laser_sight
smite infested,smite_infested
toque venenoso,venom_dose
rending turn,rending_turn
seismic wave,seismic_wave
dakra prime: cabo,dakra_prime_handle
expel grineer,expel_grineer
soma prime: cano,soma_prime_barrel
mag prime: neurovisor (diagrama),mag_prime_neuroptics_blueprint
primed fast hands,primed_fast_hands
furax quimérica: conjunto,furax_wraith_set
dead eye,dead_eye
mod riven: corpo a corpo (oculto),melee_riven_mod_(veiled)
corrosive projection,corrosive_projection
mod riven: pistola (oculto),pistol_riven_mod_(veiled)
heavy trauma,heavy_trauma
valor de exódia,exodia_valor
charged chamber,charged_chamber
maremoto purificador,tidal_impunity
piercing caliber,piercing_caliber
ember: capacete backdraft (arcano),arcane_backdraft_helmet
adhesive blast,adhesive_blast
colisão cinética,kinetic_collision
thundermiter,thundermiter
finishing touch,finishing_touch
static alacrity,static_alacrity
ash prime: chassi (diagrama),ash_prime_chassis_blueprint
tigris prime (diagrama),tigris_prime_blueprint
emergent aftermath,emergent_aftermath
fortitude,fortitude
ash prime: sistemas (diagrama),ash_prime_systems_blueprint
mag prime: sistemas (diagrama),mag_prime_systems_blueprint
grakata prisma,prisma_grakata
mobilize,mobilize
vectis prime: receptor,vectis_prime_receiver
automatic trigger,automatic_trigger
armored recovery,armored_recovery
sydon vaykor,vaykor_sydon
slip magazine,slip_magazine
homing fang,homing_fang
graciosidade arcana,arcane_grace
maul,maul
enhanced vitality,enhanced_vitality
bo prime: ornamento,bo_prime_ornament
dera vandalizada: receptor,dera_vandal_receiver
ankyros prime: conjunto,ankyros_prime_set
vile acceleration,vile_acceleration
barrel diffusion,barrel_diffusion
whirlwind,whirlwind
antitoxin,antitoxin
disruptor,disruptor
heavy caliber,heavy_caliber
piercing hit,piercing_hit
continuity,continuity
tainted clip,tainted_clip
eletrocussão aliada,shock_trooper
flow,flow
critical deceleration,critical_deceleration
wyrm prime: carapaça,wyrm_prime_carapace
chama vital,healing_flame
atlantis vulcan,atlantis_vulcan
tetra prisma,prisma_tetra
fragmentação sônica,sonic_fracture
paris prime: conjunto,paris_prime_set
trinity prime: conjunto,trinity_prime_set
vigilante armaments,vigilante_armaments
sybaris prime (diagrama),sybaris_prime_blueprint
vaga-lume encantador,beguiling_lantern
ballistica prime: conjunto,ballistica_prime_set
fúria virtuosa,virtuos_fury
anulação virtuosa,virtuos_null
ritmo virtuoso,virtuos_tempo
força de exódia,exodia_force
aparição virtuosa,virtuos_ghost
lâmina cromática,chromatic_blade
expel orokin,expel_corrupted
gladiator aegis,gladiator_aegis
neutralizing justice,neutralizing_justice
zodiana radiante,radiant_zodian
biting piranha,biting_piranha
wukong prime (diagrama),wukong_prime_blueprint
wukong prime: sistemas (diagrama),wukong_prime_systems_blueprint
zhuge prime: cordão,zhuge_prime_string
gilded truth,gilded_truth
link fiber,link_fiber
sure footed,sure_footed
bleeding willow,bleeding_willow
undying will,undying_will
iron phoenix,iron_phoenix
pointed wind,pointed_wind
stabilizer,stabilizer
rifle scavenger,rifle_scavenger
quickening,quickening
rubedo-lined barrel,rubedo_lined_barrel
sundering strike,sundering_strike
negate,negate
peculiar growth,peculiar_growth
destreza prime: lâmina,destreza_prime_blade
mecha empowered,mecha_empowered
mecha pulse,mecha_pulse
mafic rain,mafic_rain
crashing timber,crashing_timber
tainted hydra,tainted_hydra
lashing coil,lashing_coil
regen,regen
aklex prime: conexão,aklex_prime_link
speed trigger,speed_trigger
augur secrets,augur_secrets
cena: forte militar da cressa,cressas_garrison_scene
cena: tribunal dos árbitros,arbiters_tribunal_scene
cena: indústria grineer florestal,grineer_forest_industry_scene
banshee prime: sistemas (diagrama),banshee_prime_systems_blueprint
arrow mutation,arrow_mutation
hydroid prime (diagrama),hydroid_prime_blueprint
hastened deflection,hastened_deflection
infectious injection,infectious_injection
wise razor,wise_razor
equinox prime: sistemas (diagrama),equinox_prime_systems_blueprint
mod riven: arch-arma (oculto),archgun_riven_mod_(veiled)
paris prime (diagrama),paris_prime_blueprint
terremoto ressonante,resonating_quake
flailing branch,flailing_branch
frostbite,frostbite
cena: declínio central da cidade de gás,gas_city_central_drop_scene
lente unairu (lunar),lua_unairu_lens
shepherd,shepherd
cena: extração da torre orokin,orokin_tower_extraction_scene
deadly efficiency,deadly_efficiency
forja virtuosa,virtuos_forge
akvasto prime (diagrama),akvasto_prime_blueprint
akvasto prime: conexão,akvasto_prime_link
contamination casing,contamination_casing
cena: posto de comando do onkko,onkkos_command_post_scene
flux overdrive,flux_overdrive
onorix: lâmina,onorix_blade
venka prime: conjunto,venka_prime_set
suppress,suppress
fixação de alvo,target_fixation
maglev,maglev
cleanse grineer,cleanse_grineer
heightened reflexes,heightened_reflexes
hunt,hunt
orthos prime (diagrama),orthos_prime_blueprint
salão malevolente,hall_of_malevolence
smite grineer,smite_grineer
firestorm,firestorm
bane of corpus,bane_of_corpus
berserker fury,berserker_fury
pirataria astuta,rousing_plunder
loose magazine,loose_magazine
life strike,life_strike
handspring,handspring
paris prime: empunhadura,paris_prime_grip
lucky shot,lucky_shot
electrified barrel,electrified_barrel
maximum capacity,maximum_capacity
chamariz emergencial,savior_decoy
stalking fan,stalking_fan
primed bane of orokin,primed_bane_of_corrupted
warm coat,warm_coat
tainted mag,tainted_mag
tactical retreat,tactical_retreat
bright purity,bright_purity
frigid blast,frigid_blast
shrapnel rounds,shrapnel_rounds
bleeding edge,bleeding_edge
perseguição de pax,pax_seeker
mesa prime (diagrama),mesa_prime_blueprint
equinox prime: neurovisor (diagrama),equinox_prime_neuroptics_blueprint
redeemer prime (diagrama),redeemer_prime_blueprint
pico virtuoso,virtuos_spike
tipedo prime (diagrama),tipedo_prime_blueprint
