fr,slug
feu frénétique,fireball_frenzy
pureté éternelle,lasting_purity
siphon d'énergie,energy_siphon
traque,stalk
mutation de chargeur,magazine_warp
infiltration,infiltrate
étreinte de la vipère,coiling_viper
point de pression accru,primed_pressure_point
coup de froid,cold_snap
antre de l'enfer,hells_chamber
fléau accumulé,stockpiled_blight
nami skyla prime - garde,nami_skyla_prime_handle
vent fracturant,fracturing_wind
fulmination,fulmination
tambour de munitions,ammo_drum
souverain proscrit,sovereign_outcast
puissance du gladiateur,gladiator_might
impact lourd,heavy_impact
coup de foudre,thunderbolt
bassin de vie,pool_of_life
rafale entropique,entropy_burst
attraction fatale,fatal_attraction
paume sismique,seismic_palm
point de pression,pressure_point
munitions modifiées,modified_munitions
talent naturel,natural_talent
fléchette,flechette
fléau chatoyant,shimmering_blight
lames justicières,justice_blades
rabat-joie,buzz_kill
pyrana prime (schéma),pyrana_prime_blueprint
pyrana prime - culasse,pyrana_prime_receiver
pyrana prime - canon,pyrana_prime_barrel
destreza prime - set,destreza_prime_set
expulse-grineers accru,primed_expel_grineer
expulse-corpus accru,primed_expel_corpus
expulse-infestés accru,primed_expel_infested
expulse-orokins accru,primed_expel_corrupted
main traumatique,quaking_hand
glande inflammable,flame_gland
lames scindantes,dividing_blades
phasmin lisse,smooth_phasmin
arcane impulsion,arcane_pulse
justice soudaine,sudden_justice
coup de sang,blood_rush
tir de shrapnel,shrapnel_shot
fuite de réfrigérant,coolant_leak
récupération de protection,ward_recovery
charge de chaleur accrue,primed_heated_charge
étoile à neutrons,neutron_star
tirs crâniens,skull_shots
loki prime - neuroptiques (schéma),loki_prime_neuroptics_blueprint
ferveur du vigile,vigilante_fervor
ankyros prime - lame,ankyros_prime_blade
ankyros prime - gantelet,ankyros_prime_gauntlet
bo prime (schéma),bo_prime_blueprint
silva & aegis prime - quillon,silva_and_aegis_prime_guard
gel vicieux,vicious_frost
bord dentelé,jagged_edge
perturbation du bouclier,shield_disruption
magus vigueur,magus_vigor
barrage au fusil à pompe,shotgun_barrage
casque swindle arcane,arcane_swindle_helmet
vice du gladiateur,gladiator_vice
casque meridian arcane,arcane_meridian_helmet
coeur légendaire,legendary_fusion_core
tigris prime - crosse,tigris_prime_stock
aiguille tourbillonnante,spinning_needle
snipetron vandal - crosse,snipetron_vandal_stock
traînée de poudre,wildfire
fléau des grineers,bane_of_grineer
scimitar - avioniques (schéma),scimitar_avionics_blueprint
réflexe de défense,reflex_guard
protection éternelle,everlasting_ward
ash prime - neuroptiques (schéma),ash_prime_neuroptics_blueprint
secousse,jolt
vectis prime - crosse,vectis_prime_stock
vitesse hallucinante,stunning_speed
continuité accrue,primed_continuity
bo prime - manche,bo_prime_handle
collision imminente,crash_course
détournement des systèmes de survie,vital_systems_bypass
singularité,singularity
acrobaties blindées,armored_acrobatics
inertie létale,lethal_momentum
fléau des infestés accru,primed_bane_of_infested
fléau des corpus accru,primed_bane_of_corpus
carrier prime (schéma),carrier_prime_blueprint
masque vulpin,vulpine_mask
fléau des grineers accru,primed_bane_of_grineer
vectis prime - canon,vectis_prime_barrel
pompe tactique,tactical_pump
casque menticide arcane,arcane_menticide_helmet
casque aurora arcane,arcane_aurora_helmet
soma prime (schéma),soma_prime_blueprint
déchaînement,unleashed
vasto prime - canon,vasto_prime_barrel
casque chorus arcane,arcane_chorus_helmet
vasto prime (schéma),vasto_prime_blueprint
vol entropique,entropy_flight
saryn prime - set,saryn_prime_set
mont'en flèche,poppin_vert
magus réparation,magus_repair
magus irrégularité,magus_glitch
équilibre parfait,perfect_balance
absorption de souche,strain_consume
mod riven de zaw (veiled),zaw_riven_mod_(veiled)
marteau du loup (schéma),wolf_sledge_blueprint
magus surcharge,magus_overload
fission moléculaire,molecular_fission
marteau du loup - moteur,wolf_sledge_motor
frénésie sauvage,wild_frenzy
grenades au napalm,napalm_grenades
tipedo prime - manche,tipedo_prime_handle
stradavar prime - set,stradavar_prime_set
equinox prime (schéma),equinox_prime_blueprint
bronco prime - canon,bronco_prime_barrel
war - garde,war_hilt
nova prime - systèmes (schéma),nova_prime_systems_blueprint
frost prime (schéma),frost_prime_blueprint
bronco prime (schéma),bronco_prime_blueprint
crépuscule astral,astral_twilight
instantané,snap_shot
burston prime - culasse,burston_prime_receiver
fang prime - lame,fang_prime_blade
vauban prime - neuroptiques (schéma),vauban_prime_neuroptics_blueprint
hikou prime - étoiles,hikou_prime_stars
intrus,intruder
angstrum prisma,prisma_angstrum
phaedra - crosse,phaedra_stock
calcination,scorch
pointe entropique,entropy_spike
onzième tempête,eleventh_storm
nova prime - neuroptiques (schéma),nova_prime_neuroptics_blueprint
mine à antimatière,antimatter_mine
nova prime - châssis (schéma),nova_prime_chassis_blueprint
garde prismatique,prism_guard
chargeur trafiqué,trick_mag
nova prime (schéma),nova_prime_blueprint
lien trompeur,deceptive_bond
frost prime - neuroptiques (schéma),frost_prime_neuroptics_blueprint
casque squall arcane,arcane_squall_helmet
redirection calculée,calculated_redirection
cartouche chargée,charged_shell
purifie-corpus,cleanse_corpus
acier brûlant,searing_steel
déviation accélérée,accelerated_deflection
affrontement de la forêt,clashing_forest
rage primale,primal_rage
impact céleste,celestial_stomp
penta secura,secura_penta
tir de rasoir,razor_shot
terreur insidieuse,creeping_terrify
trinity prime (schéma),trinity_prime_blueprint
fureur sombre,grim_fury
sculpture ayatan orta,ayatan_orta_sculpture
canalisation d'énergie,energy_channel
jugement béni,hallowed_reckoning
convulsion,convulsion
arcane furie,arcane_fury
résilience rapide,rapid_resilience
pistolet de peste,pistol_pestilence
transformateur de morphic accru,primed_morphic_transformer
élan frêle,frail_momentum
balles pathogènes,pathogen_rounds
arcane égide,arcane_aegis
impact soudain,sudden_impact
arcane conséquence,arcane_consequence
lame tempérée,tempered_blade
châtie-corpus,smite_corpus
arcane énergétique,arcane_energize
fusillade de crocs,fanged_fusillade
résolution du gladiateur,gladiator_resolve
fantôme,ghost
cartouches givrées,rime_rounds
vulkar wraith,vulkar_wraith
sculpture ayatan piv,ayatan_piv_sculpture
armure réfléchissante,negation_swarm
tromblon,blunderbuss
sybaris prime - canon,sybaris_prime_barrel
centaure - égide,centaur_aegis
céphalon suda mod d'augmentation,cephalon_suda_augment_mod
banshee prime - châssis (schéma),banshee_prime_chassis_blueprint
étreinte glaciale,chilling_grasp
wukong prime - châssis (schéma),wukong_prime_chassis_blueprint
acier flamboyant,blazing_steel
allumage,fired_up
tempête fracassante,shattering_storm
perception de la peur,sense_danger
valse de balles,bullet_dance
vipers jumeaux wraith (schéma),twin_vipers_wraith_blueprint
chambre divisée,split_chamber
vent du nord,north_wind
récupérateur de fusil à pompe,shotgun_scavenger
gammacor synoid,synoid_gammacor
helios prime - set,helios_prime_set
ballistica rakta,rakta_ballistica
hydroid prime - neuroptiques (schéma),hydroid_prime_neuroptics_blueprint
attraction avide,greedy_pull
silva & aegis prime - set,silva_and_aegis_prime_set
sanctuaire,sanctuary
grenades liantes,tether_grenades
aviateur,aviator
attaque de faucon,swooping_falcon
constitution,constitution
infusion de châtiment,smite_infusion
collier kubrow kavasa prime - set,kavasa_prime_kubrow_collar_set
latron prime - set,latron_prime_set
lex prime - set,lex_prime_set
odonata prime - set,odonata_prime_set
tir glissé,gun_glide
vrille glaciale,rime_vault
proie abattue,vanquished_prey
lance voltaïque,voltaic_lance
cadence habile,deft_tempo
double coup,double_tap
acte final,final_act
coup final,final_tap
chambre hydraulique,hydraulic_chamber
jauge hydraulique,hydraulic_gauge
culasse bricolée,loose_hatch
canon étroit,narrow_barrel
strun wraith - canon,strun_wraith_barrel
lentille zenurik eidolon,eidolon_zenurik_lens
destreza prime - garde,destreza_prime_handle
durabilité améliorée,enhanced_durability
amélioration d'étui,holster_amp
arcane attaque,arcane_strike
portée sinistre,sinister_reach
vectis prime - set,vectis_prime_set
taillade de mante,carving_mantis
chef de meute accru,primed_pack_leader
arcane zéro,arcane_nullifier
rhino prime - set,rhino_prime_set
sicarus prime - set,sicarus_prime_set
grinloké,grinloked
arcane victoire,arcane_victory
démarche pressée,hastened_steps
tireur patient,lie_in_wait
boltor prime - culasse,boltor_prime_receiver
boltor prime - crosse,boltor_prime_stock
stalker nocturne,night_stalker
heliocor synoid,synoid_heliocor
elytron - systèmes,elytron_systems_blueprint
le méridien d'acier mod d'augmentation,steel_meridian_augment_mod
faucheuse d'ombre,shadow_harvest
fléau d'argent,argent_scourge
tigris prime - canon,tigris_prime_barrel
chargeur éjectable,eject_magazine
plan b,plan_b
guêpe brûlante,burning_wasp
munitions aiguisées,sharpened_bullets
cartouches déchirantes,ripper_rounds
soma prime - culasse,soma_prime_receiver
fauchage tournoyant,reaping_spiral
soma prime - crosse,soma_prime_stock
lame aiguisée,sharpened_blade
mitraillage glissé,strafing_slide
scimitar - set,scimitar_set
partiteurs de surplus,surplus_diverters
continuum cataclysmique,cataclysmic_continuum
braton prime - set,braton_prime_set
assaut implacable,relentless_assault
silva & aegis prime - garde,silva_and_aegis_prime_hilt
bond calculé,calculated_spring
cartouches comètes,comet_rounds
hydroid prime - châssis (schéma),hydroid_prime_chassis_blueprint
aklex prime (schéma),aklex_prime_blueprint
aklex prime - set,aklex_prime_set
ballistica prime (schéma),ballistica_prime_blueprint
fente tranquille,tranquil_cleave
lien-vitalité,link_vitality
chef de meute,pack_leader
âme survivante,soul_survivor
conversion moléculaire,molecular_conversion
cogneur,thumper
course,rush
chargeur infecté,infected_clip
purifie-infestés,cleanse_infested
flamboiement,blaze
aspirateur,vacuum
générateur d'énergie,energy_generator
tornade écarlate,scarlet_hurricane
approche vicieuse,vicious_approach
mâchoire gelée,frost_jaw
collier choc,shock_collar
atterrissage d'enfer,thrash_landing
impact motus,motus_impact
avantage aéro,aero_vantage
configuration motus,motus_setup
rafale de coups de pied,gale_kick
signal motus,motus_signal
scène de la plateforme 12,deck_12_scene
ninkondi prime (schéma),ninkondi_prime_blueprint
zhuge prime - canon,zhuge_prime_barrel
ninkondi prime - manche,ninkondi_prime_handle
ninkondi prime - set,ninkondi_prime_set
wukong prime - set,wukong_prime_set
scindo prime - manche,scindo_prime_handle
infâme précision,vile_precision
lunette parallax,parallax_scope
vitalité,vitality
récupérateur de sniper,sniper_scavenger
kubrow sunika (empreinte),sunika_kubrow_imprint
kavat adarza (empreinte),adarza_kavat_imprint
rubico prime - canon,rubico_prime_barrel
porte-tempête,stormbringer
arcane éruption,arcane_eruption
casque vespa arcane,arcane_vespa_helmet
terrier de lapin,escape_velocity
expulse-infestés,expel_infested
scène de vue sur les nuages de la cité gazière,gas_city_cloud_vista_scene
cartouches à combustion,combustion_rounds
mutation de fusil de sniper,sniper_ammo_mutation
loki prime (schéma),loki_prime_blueprint
force de pénétration,seeking_force
craque-cibles,target_cracker
expertise éphémère,fleeting_expertise
délai critique,critical_delay
provocation,provoked
frappe corrompue,spoiled_strike
balles incendiaires,incendiary_coat
casque coil arcane,arcane_coil_helmet
accord de l'augure,augur_accord
faiseur de brèche,breach_loader
doubles kamas prime (schéma),dual_kamas_prime_blueprint
tragédie de gaïa,gaias_tragedy
latron prime - canon,latron_prime_barrel
karak wraith - canon,karak_wraith_barrel
lentille zenurik,zenurik_lens
art de l'agilité,agility_drift
morsure,bite
ire spectrale,afterburn
longue tempête,rising_storm
ember prime - set,ember_prime_set
redirection,redirection
fang prime - set,fang_prime_set
boule de glas,chilling_globe
mag prime - set,mag_prime_set
exothermique,exothermic
nekros prime - neuroptiques (schéma),nekros_prime_neuroptics_blueprint
œil d'aigle,eagle_eye
surcharge de boucliers,shield_overload
bobine foudroyante,arc_coil
sphère de chaos,chaos_sphere
fixation hystérique,hysterical_fixation
jugement profané,defiled_reckoning
tir crash,crash_shot
caisse à munitions,ammo_case
euphona prime - set,euphona_prime_set
lames de la vérité,blade_of_truth
concentration d'énergie,focus_energy
œil de faucon,hawk_eye
boar prime (schéma),boar_prime_blueprint
oberon prime - set,oberon_prime_set
centaure - lame,centaur_blade
dentelure balayante,sweeping_serration
agkuza - lame,agkuza_blade
lien-redirection,link_redirection
tiberon prime (schéma),tiberon_prime_blueprint
doubles hachoirs prisma,prisma_dual_cleavers
convergence maîtrisée,directed_convergence
saryn prime (schéma),saryn_prime_blueprint
traumatisme lourd accru,primed_heavy_trauma
arcane éveil,arcane_awakening
balise gamma,gamma_beacon
arcane ultimatum,arcane_ultimatum
dera vandal (schéma),dera_vandal_blueprint
obex prisma,prisma_obex
bo prime - set,bo_prime_set
boar prime - set,boar_prime_set
ballistica prime - culasse,ballistica_prime_receiver
boltor prime - set,boltor_prime_set
strun wraith - crosse,strun_wraith_stock
strun wraith - set,strun_wraith_set
kogake prime - set,kogake_prime_set
kogake prime - gantelet,kogake_prime_gauntlet
zephyr prime (schéma),zephyr_prime_blueprint
lato vandal - set,lato_vandal_set
lato vandal (schéma),lato_vandal_blueprint
lato vandal - canon,lato_vandal_barrel
braton vandal - set,braton_vandal_set
scène de l'artillerie de la colonie grineer,grineer_settlement_artillery_scene
scène de la faille de la forteresse kuva,kuva_fortress_crevice_scene
scène de la centrifugeuse du laboratoire sous-marin grineer,grineer_sealab_centrifuge_scene
scène du balcon de lua,lua_balcony_scene
renaissance,reawaken
valkyr prime - neuroptiques (schéma),valkyr_prime_neuroptics_blueprint
centaure - manche,centaur_handle
message de l'augure,augur_message
véritable punition,true_punishment
détonation entropique,entropy_detonation
grue déchirante,rending_crane
reconnaissance aérienne,air_recon
venka prime (schéma),venka_prime_blueprint
euphona prime (schéma),euphona_prime_blueprint
onorix - manche,onorix_handle
à bout portant,point_blank
réflexion,reflection
épine cinglante,stinging_thorn
fusil à pompe amplifié,shotgun_amp
magus anomalie,magus_anomaly
doubles kamas prime - manches,dual_kamas_prime_handle
virtuos surtension,virtuos_surge
cible marquée,marked_target
lames surchargées,empowered_blades
kavasa prime - boucle,kavasa_prime_buckle
éruption de souche,strain_eruption
front commun,stand_united
kavasa prime - lanière,kavasa_prime_band
scène du trône de kuva,kuva_throne_scene
scène du portail du sanctuaire,sanctuary_conduit_scene
dents venimeuses,venom_teeth
acier montant,rising_steel
furie perforante,piercing_fury
amaraste étoilé,star_amarast
hoverdrive venerdo,venerdo_hoverdrive
traînée brûlante,trail_blazer
détecteur de matière,scan_matter
friction cinétique,kinetic_friction
détecteur formes de vie aquatiques,scan_lifeforms
temps de vol,air_time
protège rampes,rail_guards
mode assaut,assault_mode
verrouillages mag,mag_locks
amortisseurs d'inertie,inertia_dampeners
akvasto prime - set,akvasto_prime_set
agonie perpétuelle,perpetual_agony
agilité blindée,armored_agility
décompte des morts,body_count
arcane déviation,arcane_deflection
blessures suintantes,weeping_wounds
akbronco prime - lien,akbronco_prime_link
tempête vermillon,vermillion_storm
coup mutilant,maiming_strike
inspecteur,investigator
mise à feu,firewalker
réticule hydraulique,hydraulic_crosshairs
vol toxique,toxic_flight
vision laser,laser_sight
châtie-infestés,smite_infested
dose de venin,venom_dose
tour déchirant,rending_turn
onde sismique,seismic_wave
dakra prime - garde,dakra_prime_handle
expulse-grineers,expel_grineer
soma prime - canon,soma_prime_barrel
mag prime - neuroptiques (schéma),mag_prime_neuroptics_blueprint
mains rapides accrues,primed_fast_hands
furax wraith - set,furax_wraith_set
tireur d’élite,dead_eye
mod riven de mêlée (veiled),melee_riven_mod_(veiled)
projection corrosive,corrosive_projection
mod riven de pistolet (veiled),pistol_riven_mod_(veiled)
traumatisme lourd,heavy_trauma
exodia bravoure,exodia_valor
chambre chargée,charged_chamber
marée immunisante,tidal_impunity
calibre pénétrant,piercing_caliber
casque backdraft arcane,arcane_backdraft_helmet
grenade adhésive,adhesive_blast
collision cinétique,kinetic_collision
dynamiter,thundermiter
coup de grâce,finishing_touch
alacrité statique,static_alacrity
ash prime - châssis (schéma),ash_prime_chassis_blueprint
tigris prime (schéma),tigris_prime_blueprint
conséquence inattendue,emergent_aftermath
courage,fortitude
ash prime - systèmes (schéma),ash_prime_systems_blueprint
mag prime - systèmes (schéma),mag_prime_systems_blueprint
grakata prisma,prisma_grakata
mobilisation,mobilize
vectis prime - culasse,vectis_prime_receiver
détente automatique,automatic_trigger
récupération blindée,armored_recovery
sydon vaykor,vaykor_sydon
chargeur glissant,slip_magazine
crocs autoguidés,homing_fang
arcane grâce,arcane_grace
mise en pièces,maul
vitalité améliorée,enhanced_vitality
bo prime - ornement,bo_prime_ornament
dera vandal - culasse,dera_vandal_receiver
ankyros prime - set,ankyros_prime_set
infâme accélération,vile_acceleration
canon à diffusion,barrel_diffusion
tourbillon,whirlwind
antitoxine,antitoxin
perturbateur,disruptor
gros calibre,heavy_caliber
coup perforant,piercing_hit
continuité,continuity
chargeur contaminé,tainted_clip
unité de choc,shock_trooper
flux,flow
décélération critique,critical_deceleration
wyrm prime - carapace,wyrm_prime_carapace
flamme guérisseuse,healing_flame
vulcain d'atlantis,atlantis_vulcan
tetra prisma,prisma_tetra
fracture sonique,sonic_fracture
paris prime - set,paris_prime_set
trinity prime - set,trinity_prime_set
armement du vigile,vigilante_armaments
sybaris prime (schéma),sybaris_prime_blueprint
lanterne séduisante,beguiling_lantern
ballistica prime - set,ballistica_prime_set
virtuos furie,virtuos_fury
virtuos zéro,virtuos_null
virtuos tempo,virtuos_tempo
exodia force,exodia_force
virtuos fantôme,virtuos_ghost
lame chromatique,chromatic_blade
expulse-orokins,expel_corrupted
égide du gladiateur,gladiator_aegis
justice neutralisante,neutralizing_justice
zodian radiant,radiant_zodian
piranha mordant,biting_piranha
wukong prime (schéma),wukong_prime_blueprint
wukong prime - systèmes (schéma),wukong_prime_systems_blueprint
zhuge prime - corde,zhuge_prime_string
vérité dorée,gilded_truth
lien-fibre,link_fiber
bien chaussé,sure_footed
saule saignant,bleeding_willow
volonté de survie,undying_will
phénix de fer,iron_phoenix
vent tranchant,pointed_wind
stabilisateur,stabilizer
récupérateur de fusil,rifle_scavenger
accélération,quickening
canon plaqué rubedo,rubedo_lined_barrel
frappe fracassante,sundering_strike
négation,negate
boursouflure atypique,peculiar_growth
destreza prime - lame,destreza_prime_blade
surcharge mecha,mecha_empowered
pilonnage mecha,mecha_pulse
pluie mafique,mafic_rain
rondin écrasant,crashing_timber
hydre entachée,tainted_hydra
volute fustigeante,lashing_coil
régénération,regen
aklex prime - lien,aklex_prime_link
détente rapide,speed_trigger
secrets de l'augure,augur_secrets
scène de la garnison de cressa,cressas_garrison_scene
scène du tribunal des arbitres,arbiters_tribunal_scene
scène industrie de la forêt grineer,grineer_forest_industry_scene
banshee prime - systèmes (schéma),banshee_prime_systems_blueprint
mutation de flèches,arrow_mutation
hydroid prime (schéma),hydroid_prime_blueprint
déviation précipitée,hastened_deflection
injection infectée,infectious_injection
rasoir lucide,wise_razor
equinox prime - systèmes (schéma),equinox_prime_systems_blueprint
mod riven d'arch-fusil (veiled),archgun_riven_mod_(veiled)
paris prime (schéma),paris_prime_blueprint
secousse résonnante,resonating_quake
branche battante,flailing_branch
engelure,frostbite
scène du débarquement central de la cité gazière,gas_city_central_drop_scene
lentille unairu lua,lua_unairu_lens
dresseur,shepherd
scène d'extraction de la tour orokin,orokin_tower_extraction_scene
efficacité mortelle,deadly_efficiency
virtuos forge,virtuos_forge
akvasto prime (schéma),akvasto_prime_blueprint
akvasto prime - lien,akvasto_prime_link
charge contaminée,contamination_casing
scène du poste de commande d'onkko,onkkos_command_post_scene
surcharge de flux,flux_overdrive
onorix - lame,onorix_blade
venka prime - set,venka_prime_set
silencieux,suppress
fixation ciblée,target_fixation
maglev,maglev
purifie-grineers,cleanse_grineer
réflexes primaires,heightened_reflexes
chasse,hunt
orthos prime (schéma),orthos_prime_blueprint
galerie de la malveillance,hall_of_malevolence
châtie-grineers,smite_grineer
tempête de feu,firestorm
fléau des corpus,bane_of_corpus
furie du berserker,berserker_fury
flibuste passionnée,rousing_plunder
chargeur bricolé,loose_magazine
frappe vitale,life_strike
mains sur ressorts,handspring
paris prime - prise,paris_prime_grip
tir chanceux,lucky_shot
canon électrifié,electrified_barrel
capacité maximale,maximum_capacity
leurre protecteur,savior_decoy
éventail harcelant,stalking_fan
fléau des orokins accru,primed_bane_of_corrupted
manteau chaud,warm_coat
magasin contaminé,tainted_mag
retraite tactique,tactical_retreat
pureté lumineuse,bright_purity
explosion glaciale,frigid_blast
